#                                                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
146661at5125_2030778_0:000a74|CM010805.1:1923732-1928090|-   -            893 146661               -            739         0 1192.2   0.0   1   1         0         0 1191.8   0.0    16   670   100   796    72   834 0.89 <unknown description>
146661at5125_1080343_0:00135c|CM010805.1:1924932-1928198|-   -           1073 146661               -            739         0 1191.9   0.3   1   2         0         0 1191.0   0.0    16   670   136   832   108   871 0.89 <unknown description>
146661at5125_1080343_0:00135c|CM010805.1:1924932-1928198|-   -           1073 146661               -            739         0 1191.9   0.3   2   2       2.1       2.1   -3.1   0.2   676   700   897   921   889   936 0.71 <unknown description>
146661at5125_1053134_0:001fba|CM010805.1:1924932-1929382|-   -           1360 146661               -            739         0 1190.9   0.3   1   2         0         0 1190.0   0.0    16   670   423  1119   396  1158 0.89 <unknown description>
146661at5125_1053134_0:001fba|CM010805.1:1924932-1929382|-   -           1360 146661               -            739         0 1190.9   0.3   2   2       3.3       3.3   -3.7   0.2   676   699  1184  1207  1178  1221 0.73 <unknown description>
146661at5125_96318_0:002edd|CM010805.1:1925694-1928198|-     -            819 146661               -            739         0 1183.0   0.0   1   1         0         0 1182.6   0.0    16   657   136   819   108   819 0.91 <unknown description>
146661at5125_1080343_0:0041e1|MRCU01000019.1:247727-250446|- -            891 146661               -            739         0 1152.5   0.0   1   1         0         0 1152.1   0.0    22   671    64   755    29   849 0.88 <unknown description>
146661at5125_1080343_0:0041e1|MRCU01000019.1:476884-479603|+ -            891 146661               -            739         0 1152.5   0.0   1   1         0         0 1152.1   0.0    22   671    64   755    29   849 0.88 <unknown description>
146661at5125_1094350_0:001960|MRCU01000019.1:247466-253179|- -            978 146661               -            739         0 1152.2   0.0   1   1         0         0 1151.6   0.0    22   671    64   755    29   847 0.88 <unknown description>
146661at5125_1094350_0:001960|MRCU01000019.1:474167-479864|+ -            978 146661               -            739         0 1152.2   0.0   1   1         0         0 1151.6   0.0    22   671    64   755    29   847 0.88 <unknown description>
146661at5125_396571_0:00478f|MRCU01000019.1:247412-250902|-  -           1148 146661               -            739         0 1151.5   9.3   1   2      0.26      0.26   -0.1   7.8    58    90    15    51     7    63 0.77 <unknown description>
146661at5125_396571_0:00478f|MRCU01000019.1:247412-250902|-  -           1148 146661               -            739         0 1151.5   9.3   2   2         0         0 1150.9   0.0    22   671   216   907   181   996 0.88 <unknown description>
146661at5125_396571_0:0047ce|MRCU01000019.1:476428-479918|+  -           1148 146661               -            739         0 1151.5   9.3   1   2      0.26      0.26   -0.1   7.8    58    90    15    51     7    63 0.77 <unknown description>
146661at5125_396571_0:0047ce|MRCU01000019.1:476428-479918|+  -           1148 146661               -            739         0 1151.5   9.3   2   2         0         0 1150.9   0.0    22   671   216   907   181   996 0.88 <unknown description>
146661at5125_396571_0:0047ce|MRCU01000010.1:1568-5052|+      -           1142 146661               -            739         0 1133.2  10.3   1   2     0.029     0.029    3.0   8.0    58    90    15    50     7    62 0.82 <unknown description>
146661at5125_396571_0:0047ce|MRCU01000010.1:1568-5052|+      -           1142 146661               -            739         0 1133.2  10.3   2   2         0         0 1130.2   0.0    22   691   213   924   177   989 0.87 <unknown description>
146661at5125_1080343_0:0041e1|MRCU01000010.1:2022-4737|+     -            887 146661               -            739         0 1131.8   0.0   1   1         0         0 1131.4   0.0    22   691    63   774    27   845 0.87 <unknown description>
146661at5125_426428_0:00487c|CM010805.1:1917068-1928078|-    -            963 146661               -            739         0 1050.6  13.0   1   3  1.4e-131  1.4e-131  430.6   4.9    16   246    96   340    69   341 0.87 <unknown description>
146661at5125_426428_0:00487c|CM010805.1:1917068-1928078|-    -            963 146661               -            739         0 1050.6  13.0   2   3  1.5e-190  1.5e-190  625.6   0.0   295   670   342   743   340   782 0.90 <unknown description>
146661at5125_426428_0:00487c|CM010805.1:1917068-1928078|-    -            963 146661               -            739         0 1050.6  13.0   3   3       1.9       1.9   -2.9   0.2   676   700   808   832   800   847 0.71 <unknown description>
146661at5125_96318_0:0041da|CM010805.1:1924932-1927535|-     -            852 146661               -            739  3.3e-304 1001.3   0.0   1   2  7.8e-304  7.8e-304 1000.1   0.0   102   670     1   611     1   651 0.90 <unknown description>
146661at5125_96318_0:0041da|CM010805.1:1924932-1927535|-     -            852 146661               -            739  3.3e-304 1001.3   0.0   2   2       1.5       1.5   -2.6   0.1   676   700   676   700   667   716 0.70 <unknown description>
146661at5125_2604345_0:00439b|CM010805.1:1926577-1928201|-   -            525 146661               -            739  6.9e-221  725.9   0.3   1   1  9.4e-221  9.4e-221  725.4   0.3    16   376   137   515   109   519 0.90 <unknown description>
146661at5125_5507_3:003f09|MRCU01000019.1:247428-249575|-    -            676 146661               -            739    8e-207  679.4   2.3   1   2  2.7e-103  2.7e-103  337.1   0.0   223   398     5   184     1   199 0.94 <unknown description>
146661at5125_5507_3:003f09|MRCU01000019.1:247428-249575|-    -            676 146661               -            739    8e-207  679.4   2.3   2   2  2.5e-104  2.5e-104  340.5   1.7   443   670   199   440   187   482 0.86 <unknown description>
146661at5125_5507_3:003f09|MRCU01000019.1:477755-479902|+    -            676 146661               -            739    8e-207  679.4   2.3   1   2  2.7e-103  2.7e-103  337.1   0.0   223   398     5   184     1   199 0.94 <unknown description>
146661at5125_5507_3:003f09|MRCU01000019.1:477755-479902|+    -            676 146661               -            739    8e-207  679.4   2.3   2   2  2.5e-104  2.5e-104  340.5   1.7   443   670   199   440   187   482 0.86 <unknown description>
146661at5125_5507_3:003f09|MRCU01000010.1:2891-5036|+        -            675 146661               -            739    9e-205  672.6   2.5   1   2  6.1e-104  6.1e-104  339.2   0.0   223   398     5   184     1   200 0.94 <unknown description>
