#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
224052at5125_327505_0:001e3d|CM010338.1:3784395-3786531|-  -            273 224052               -            255  1.3e-118  384.1  29.3   1   1    2e-118    2e-118  383.5  29.3     3   255     9   271     7   271 0.90 <unknown description>
224052at5125_485398_0:001b99|CM010338.1:3784395-3787306|-  -            385 224052               -            255  7.4e-116  375.1  47.2   1   3  6.3e-115  6.3e-115  372.0  39.3     3   236    79   329    77   334 0.90 <unknown description>
224052at5125_485398_0:001b99|CM010338.1:3784395-3787306|-  -            385 224052               -            255  7.4e-116  375.1  47.2   2   3         7         7  -12.2  15.8    79    97   330   346   328   361 0.46 <unknown description>
224052at5125_485398_0:001b99|CM010338.1:3784395-3787306|-  -            385 224052               -            255  7.4e-116  375.1  47.2   3   3   3.5e-06   3.5e-06   15.7   0.9   232   255   360   383   352   383 0.89 <unknown description>
224052at5125_1028729_0:002ed8|CM010338.1:3784395-3788773|- -            408 224052               -            255  1.8e-115  373.8  45.4   1   3    1e-113    1e-113  368.1  40.7     4   236   103   352   100   357 0.90 <unknown description>
224052at5125_1028729_0:002ed8|CM010338.1:3784395-3788773|- -            408 224052               -            255  1.8e-115  373.8  45.4   2   3         7         7  -12.2  15.7    79    97   353   369   351   384 0.46 <unknown description>
224052at5125_1028729_0:002ed8|CM010338.1:3784395-3788773|- -            408 224052               -            255  1.8e-115  373.8  45.4   3   3   2.5e-06   2.5e-06   16.1   0.1   232   255   383   406   380   406 0.90 <unknown description>
224052at5125_2826082_0:00194b|CM010338.1:3784395-3785628|- -            359 224052               -            255    1e-114  371.3  49.1   1   3  1.3e-113  1.3e-113  367.7  41.8     4   236    54   303    51   309 0.89 <unknown description>
224052at5125_2826082_0:00194b|CM010338.1:3784395-3785628|- -            359 224052               -            255    1e-114  371.3  49.1   2   3         7         7  -12.2  15.9    79    97   304   320   302   335 0.45 <unknown description>
224052at5125_2826082_0:00194b|CM010338.1:3784395-3785628|- -            359 224052               -            255    1e-114  371.3  49.1   3   3   2.9e-06   2.9e-06   16.0   0.7   232   255   334   357   327   357 0.90 <unknown description>
224052at5125_2502994_0:0028c4|CM010338.1:3784395-3785986|- -            389 224052               -            255  2.9e-114  369.8  48.7   1   3  3.1e-113  3.1e-113  366.5  41.2     4   236    84   333    82   338 0.89 <unknown description>
224052at5125_2502994_0:0028c4|CM010338.1:3784395-3785986|- -            389 224052               -            255  2.9e-114  369.8  48.7   2   3         7         7  -12.4  16.0    79    97   334   350   332   365 0.46 <unknown description>
224052at5125_2502994_0:0028c4|CM010338.1:3784395-3785986|- -            389 224052               -            255  2.9e-114  369.8  48.7   3   3   3.2e-06   3.2e-06   15.8   0.8   232   255   364   387   356   387 0.89 <unknown description>
224052at5125_1081102_0:000777|CM010338.1:3784398-3785254|- -            252 224052               -            255   6.1e-90  290.1  40.7   1   3   3.6e-88   3.6e-88  284.3  34.3    55   236     1   197     1   201 0.89 <unknown description>
224052at5125_1081102_0:000777|CM010338.1:3784398-3785254|- -            252 224052               -            255   6.1e-90  290.1  40.7   2   3         7         7  -13.2  17.5    79    97   198   214   196   228 0.45 <unknown description>
224052at5125_1081102_0:000777|CM010338.1:3784398-3785254|- -            252 224052               -            255   6.1e-90  290.1  40.7   3   3   1.5e-06   1.5e-06   16.9   0.4   232   255   228   251   223   251 0.90 <unknown description>
224052at5125_911162_0:000cd6|CM010338.1:3784854-3785471|-  -            154 224052               -            255   8.1e-68  217.6  26.6   1   1   8.8e-68   8.8e-68  217.5  26.6     4   145     2   149     1   154 0.92 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/224052at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/224052at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/hmmer_output/224052at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/224052at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/224052at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:03:52 2026
# [ok]
