marker_id	status	detail
100016at5125	USED	length=395
100134at5125	USED	length=272
100193at5125	USED	length=479
100369at5125	USED	length=475
100543at5125	USED	length=517
100591at5125	USED	length=1189
100890at5125	USED	length=601
100912at5125	USED	length=1821
100938at5125	USED	length=5145
101132at5125	USED	length=281
101349at5125	USED	length=172
101626at5125	USED	length=899
101923at5125	USED	length=356
10195at5125	USED	length=1164
102187at5125	USED	length=341
102371at5125	USED	length=784
102376at5125	USED	length=227
102380at5125	USED	length=1021
102469at5125	USED	length=879
102495at5125	USED	length=364
102712at5125	USED	length=887
102973at5125	USED	length=297
102991at5125	USED	length=1719
102999at5125	USED	length=779
103079at5125	USED	length=515
103246at5125	USED	length=823
103389at5125	USED	length=963
103464at5125	USED	length=302
103501at5125	USED	length=78
103560at5125	USED	length=394
103732at5125	USED	length=182
103841at5125	USED	length=486
103916at5125	USED	length=402
104084at5125	USED	length=655
104111at5125	USED	length=257
104173at5125	USED	length=585
104238at5125	USED	length=695
104262at5125	USED	length=160
104269at5125	USED	length=1864
104466at5125	USED	length=702
104538at5125	USED	length=899
104742at5125	USED	length=324
104766at5125	USED	length=725
104768at5125	USED	length=529
104968at5125	USED	length=246
105138at5125	USED	length=396
105180at5125	USED	length=1009
105225at5125	USED	length=593
105299at5125	USED	length=1037
105489at5125	USED	length=204
105530at5125	USED	length=1112
105580at5125	USED	length=558
105614at5125	USED	length=319
105654at5125	USED	length=149
105695at5125	USED	length=696
105776at5125	USED	length=577
105939at5125	USED	length=599
106128at5125	USED	length=999
106152at5125	USED	length=1199
106221at5125	USED	length=795
106310at5125	USED	length=2224
106359at5125	USED	length=652
106422at5125	USED	length=528
106494at5125	USED	length=521
106566at5125	USED	length=588
106728at5125	USED	length=536
106881at5125	USED	length=1827
106933at5125	USED	length=469
106941at5125	USED	length=2225
106967at5125	USED	length=158
107077at5125	USED	length=1044
107152at5125	USED	length=663
107223at5125	USED	length=133
107275at5125	USED	length=420
107302at5125	USED	length=901
10731at5125	USED	length=152
107397at5125	USED	length=738
107412at5125	USED	length=534
107539at5125	USED	length=876
107762at5125	USED	length=350
107805at5125	USED	length=893
107837at5125	USED	length=530
107842at5125	USED	length=310
107962at5125	USED	length=322
108018at5125	USED	length=367
108043at5125	USED	length=283
108096at5125	USED	length=784
108323at5125	USED	length=306
108705at5125	USED	length=168
108906at5125	USED	length=972
108912at5125	USED	length=875
109234at5125	USED	length=645
109291at5125	USED	length=508
109388at5125	USED	length=392
109405at5125	USED	length=499
109489at5125	USED	length=626
109622at5125	USED	length=323
109683at5125	USED	length=821
109748at5125	USED	length=352
109749at5125	USED	length=444
109787at5125	USED	length=380
109995at5125	USED	length=762
110213at5125	USED	length=372
110350at5125	USED	length=356
110477at5125	USED	length=228
110553at5125	USED	length=381
110607at5125	USED	length=1020
110706at5125	USED	length=243
110760at5125	USED	length=798
111006at5125	USED	length=527
111022at5125	USED	length=150
111121at5125	USED	length=386
111141at5125	USED	length=157
111250at5125	USED	length=255
111256at5125	USED	length=824
111448at5125	USED	length=708
111472at5125	USED	length=136
111633at5125	USED	length=421
111745at5125	USED	length=1511
111793at5125	USED	length=279
111814at5125	USED	length=182
111824at5125	USED	length=532
111974at5125	USED	length=249
112361at5125	USED	length=330
112495at5125	USED	length=389
1126at5125	USED	length=104
112759at5125	USED	length=434
112857at5125	USED	length=688
113297at5125	USED	length=299
113478at5125	USED	length=1078
113652at5125	USED	length=2520
113708at5125	USED	length=612
113918at5125	USED	length=527
113996at5125	USED	length=349
114075at5125	USED	length=277
114290at5125	USED	length=742
114765at5125	USED	length=504
114818at5125	USED	length=593
114988at5125	USED	length=203
11508at5125	USED	length=250
115096at5125	USED	length=322
