# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CM148403.1	3325153	3324467	-	339.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Complete	CM148402.1	3547495	3545191	-	1598.4	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CM148406.1	3307858	3307137	-	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CM148409.1	2924797	2925343	+	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CM148401.1	3016185	3016910	+	365.8	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CM148403.1	2660304	2659697	-	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	CM148404.1	513602	515465	+	1006.0	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CM148405.1	823949	824447	+	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CM148401.1	4500003	4497934	-	1364.7	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CM148401.1	4668691	4670033	+	787.0	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CM148403.1	1890227	1891450	+	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	CM148404.1	2779660	2779981	+	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	CM148404.1	2891881	2891104	-	406.2	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CM148406.1	3132702	3131823	-	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CM148401.1	4776266	4775900	-	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CM148401.1	1346379	1345748	-	341.5	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	CM148404.1	1023112	1021750	-	838.6	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CM148402.1	4489956	4497518	+	1124.2	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CM148406.1	3022415	3024213	+	1112.1	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CM148401.1	4233970	4233205	-	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CM148405.1	2413562	2413035	-	277.2	156	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CM148409.1	1718338	1720325	+	1224.4	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CM148401.1	2196748	2193113	-	2609.1	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CM148409.1	1974990	1973211	-	417.1	199	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	CM148404.1	3191634	3191178	-	266.8	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	CM148404.1	3434084	3434940	+	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CM148401.1	5151203	5150136	-	659.9	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	CM148404.1	2681841	2680212	-	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CM148405.1	2032695	2033655	+	585.8	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CM148401.1	3795448	3797831	+	1313.9	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CM148402.1	3327763	3328837	+	428.7	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CM148402.1	1804648	1802555	-	848.6	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	CM148404.1	2835760	2836564	+	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CM148405.1	2363885	2363113	-	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CM148406.1	826441	819337	-	5498.9	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CM148403.1	1731427	1730591	-	483.8	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CM148402.1	1638241	1644806	+	1915.4	1005	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CM148406.1	3217386	3214960	-	1219.6	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CM148401.1	4122381	4121486	-	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	CM148404.1	1925597	1927434	+	944.8	554	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CM148409.1	1654811	1656081	+	534.3	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CM148408.1	1721280	1725161	+	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	CM148404.1	1531180	1532801	+	812.1	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CM148405.1	1383607	1387028	+	294.4	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CM148401.1	2613289	2609992	-	1223.3	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
19978at5125	Complete	CM148403.1	3284591	3285881	+	564.8	305	https://v12-2.orthodb.org/?query=19978at5125	N-glycosylase
20040at5125	Complete	CM148401.1	1679136	1677644	-	636.6	299	https://v12-2.orthodb.org/?query=20040at5125	mitochondrial carrier
20148at5125	Complete	CM148404.1	1254848	1255891	+	588.6	277	https://v12-2.orthodb.org/?query=20148at5125	2-methoxy-6-polyprenyl-1 4-benzoquinol methylase
20908at5125	Complete	CM148405.1	1273409	1274893	+	953.0	426	https://v12-2.orthodb.org/?query=20908at5125	6-phosphofructo-2-kinase
21210at5125	Complete	CM148409.1	2527885	2529126	+	803.4	379	https://v12-2.orthodb.org/?query=21210at5125	galactose-1-phosphate uridyl transferase
21908at5125	Complete	CM148402.1	4561269	4560082	-	766.8	334	https://v12-2.orthodb.org/?query=21908at5125	Septin
