#                                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38229at5125_1080343_0:001a78|CM010335.1:3337311-3339344|+ -            594 38229                -            584         0 1096.2   0.0   1   1         0         0 1096.0   0.0     7   584    10   592     4   592 0.97 <unknown description>
38229at5125_655819_0:001edb|CM010335.1:3333339-3339338|+  -            999 38229                -            584         0 1093.9   0.0   1   1         0         0 1093.6   0.0     7   584   417   999   411   999 0.97 <unknown description>
38229at5125_426428_0:00496b|QESU01000057.1:89132-91204|+  -            601 38229                -            584         0 1056.6   0.0   1   1         0         0 1056.3   0.0     3   584     7   599     5   599 0.96 <unknown description>
38229at5125_426428_0:00496b|QESU01000452.1:89132-91204|+  -            601 38229                -            584         0 1056.6   0.0   1   1         0         0 1056.3   0.0     3   584     7   599     5   599 0.96 <unknown description>
38229at5125_1859967_0:0004ac|QESU01000057.1:86407-91201|+ -            612 38229                -            584         0 1056.4   0.0   1   1         0         0 1056.1   0.0     3   584    19   611    17   611 0.96 <unknown description>
38229at5125_1859967_0:0004ac|QESU01000452.1:86407-91201|+ -            612 38229                -            584         0 1056.4   0.0   1   1         0         0 1056.1   0.0     3   584    19   611    17   611 0.96 <unknown description>
38229at5125_426428_0:00121f|QESU01000094.1:26920-29004|-  -            624 38229                -            584         0 1036.0   0.0   1   1         0         0 1031.2   0.0     3   584     7   622     5   622 0.94 <unknown description>
38229at5125_93591_0:000fd4|CM010335.1:3337722-3339338|+   -            455 38229                -            584  1.9e-286  941.7   0.0   1   1  2.2e-286  2.2e-286  941.5   0.0   129   584     1   455     1   455 0.99 <unknown description>
38229at5125_93591_0:000fd4|QESU01000057.1:89564-91198|+   -            455 38229                -            584    1e-280  922.8   0.0   1   1  1.1e-280  1.1e-280  922.6   0.0   129   584     1   455     1   455 0.99 <unknown description>
38229at5125_93591_0:000fd4|QESU01000452.1:89564-91198|+   -            455 38229                -            584    1e-280  922.8   0.0   1   1  1.1e-280  1.1e-280  922.6   0.0   129   584     1   455     1   455 0.99 <unknown description>
38229at5125_93591_0:000fd4|QESU01000094.1:26926-28560|-   -            474 38229                -            584  2.5e-275  905.0   0.7   1   1  8.1e-274  8.1e-274  900.0   0.7   129   584     1   474     1   474 0.97 <unknown description>
38229at5125_660025_0:004309|QESU01000057.1:89989-91180|+  -            334 38229                -            584  2.1e-196  644.4   0.9   1   1  2.4e-196  2.4e-196  644.2   0.9   253   578     1   334     1   334 0.98 <unknown description>
38229at5125_660025_0:004309|QESU01000452.1:89989-91180|+  -            334 38229                -            584  2.1e-196  644.4   0.9   1   1  2.4e-196  2.4e-196  644.2   0.9   253   578     1   334     1   334 0.98 <unknown description>
