copy_id	gene	accession	sseqid	sstrand	n_hsps_merged	genomic_start	genomic_end	query_coverage_pct	weighted_pident	best_evalue	sum_bitscore	status	status_note
SIX10_GCA_003315725.1_copy1	SIX10	GCA_003315725.1	gb|QESU01000255.1|	minus	2	5729	6245	100.0	100.0	3.1e-71	285.8	genuine_homolog	
SIX10_GCA_003615085.1_copy1	SIX10	GCA_003615085.1	gb|MRCU01000021.1|	plus	1	248225	248587	81.2	90.08	1.2e-58	196.0	genuine_homolog	
SIX10_GCA_003977725.1_copy1	SIX10	GCA_003977725.1	gb|CM012196.1|	plus	2	367890	368406	100.0	100.0	3.22e-71	285.8	genuine_homolog	
SIX10_GCA_013423245.1_copy1	SIX10	GCA_013423245.1	gb|CM023981.1|	plus	2	308004	308520	100.0	91.28	1.26e-62	256.8	genuine_homolog	
SIX10_GCA_013423245.1_copy2	SIX10	GCA_013423245.1	gb|CM023981.1|	minus	1	4041794	4042159	81.9	90.98	1.33e-61	205.0	genuine_homolog	
SIX12_GCA_003315725.1_copy1	SIX12	GCA_003315725.1	gb|QESU01000255.1|	minus	1	7472	7900	100.0	88.11	5.06e-78	250.0	genuine_homolog	
SIX12_GCA_003615085.1_copy1	SIX12	GCA_003615085.1	gb|MRCU01000021.1|	plus	1	244625	244984	94.5	92.5	2.17e-69	226.0	genuine_homolog	
SIX12_GCA_003977725.1_copy1	SIX12	GCA_003977725.1	gb|CM012196.1|	plus	1	366235	366663	100.0	88.11	5.41e-78	250.0	genuine_homolog	
SIX12_GCA_013423245.1_copy1	SIX12	GCA_013423245.1	gb|CM023981.1|	plus	1	305677	306105	100.0	82.52	5.84e-72	233.0	genuine_homolog	
SIX12_GCA_013423245.1_copy2	SIX12	GCA_013423245.1	gb|CM023982.1|	minus	1	535114	535542	100.0	83.92	7.27e-73	236.0	genuine_homolog	
SIX1_GCA_003315725.1_copy1	SIX1	GCA_003315725.1	gb|QESU01000253.1|	minus	1	12246	12803	66.4	82.26	4.47e-103	330.0	genuine_homolog	
SIX1_GCA_003315725.1_copy2	SIX1	GCA_003315725.1	gb|QESU01000256.1|	minus	1	13143	13982	100.0	100.0	0.0	590.0	genuine_homolog	
SIX1_GCA_003977725.1_copy1	SIX1	GCA_003977725.1	gb|CM012196.1|	plus	1	347388	347945	66.4	82.26	4.87e-103	330.0	genuine_homolog	
SIX1_GCA_003977725.1_copy2	SIX1	GCA_003977725.1	gb|CM012196.1|	plus	1	776819	777658	100.0	99.64	0.0	588.0	genuine_homolog	
SIX1_GCA_013423245.1_copy1	SIX1	GCA_013423245.1	gb|CM023981.1|	plus	1	2244404	2245222	100.0	71.38	1.27e-127	400.0	genuine_homolog	
SIX1_GCA_014857105.1_copy1	SIX1	GCA_014857105.1	gb|CP052908.1|	plus	1	4573625	4574449	100.0	70.0	6.52e-125	392.0	genuine_homolog	
SIX1_GCA_016164145.2_copy4	SIX1	GCA_016164145.2	gb|CM040507.1|	minus	2	2454416	2455239	98.2	65.22	1.33e-93	362.0	genuine_homolog	
SIX1_GCA_016166325.2_copy1	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	448663	449487	100.0	66.55	1.11e-116	369.0	genuine_homolog	
SIX1_GCA_016166325.2_copy2	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	541795	542622	100.0	66.19	8.52e-116	366.0	genuine_homolog	
SIX1_GCA_016166325.2_copy3	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	546884	547708	100.0	66.9	1.7e-116	368.0	genuine_homolog	
SIX1_GCA_030345115.2_copy1	SIX1	GCA_030345115.2	gb|CP128284.1|	plus	1	1283350	1284165	100.0	73.67	1.83e-131	411.0	genuine_homolog	
SIX1_GCA_031834405.1_copy1	SIX1	GCA_031834405.1	gb|CM063118.1|	minus	1	5920774	5921574	100.0	72.14	4.54e-129	404.0	genuine_homolog	
SIX1_GCA_031834405.1_copy2	SIX1	GCA_031834405.1	gb|CM063118.1|	plus	1	6426875	6427696	99.6	69.89	1.84e-126	397.0	genuine_homolog	
SIX1_GCA_031834405.1_copy3	SIX1	GCA_031834405.1	gb|CM063118.1|	minus	1	6464004	6464822	100.0	73.5	8.34e-133	415.0	genuine_homolog	
SIX1_GCA_032206225.1_copy1	SIX1	GCA_032206225.1	gb|JACSDM010000050.1|	plus	1	14152	14970	100.0	72.08	4.72e-130	407.0	genuine_homolog	
SIX1_GCA_053754955.2_copy2	SIX1	GCA_053754955.2	gb|CM132354.1|	minus	1	1634768	1635586	100.0	71.38	3.29e-128	402.0	genuine_homolog	
SIX1_GCA_053754965.2_copy1	SIX1	GCA_053754965.2	gb|CM132358.1|	minus	1	5755812	5756612	100.0	72.14	4.43e-129	404.0	genuine_homolog	
SIX1_GCA_053754965.2_copy2	SIX1	GCA_053754965.2	gb|CM132358.1|	plus	1	6262464	6263285	99.6	69.89	1.79e-126	397.0	genuine_homolog	
SIX1_GCA_053754965.2_copy3	SIX1	GCA_053754965.2	gb|CM132358.1|	minus	1	6299592	6300410	100.0	73.5	8.13e-133	415.0	genuine_homolog	
SIX1_GCA_054130785.1_copy1	SIX1	GCA_054130785.1	gb|JASCZF010000010.1|	minus	1	53103	53375	32.5	79.12	1.37e-37	141.0	genuine_homolog	
SIX1_GCA_054130785.1_copy2	SIX1	GCA_054130785.1	gb|JASCZF010000003.1|	minus	1	818103	818930	100.0	69.75	2.25e-126	397.0	genuine_homolog	
SIX3_GCA_003315725.1_copy1	SIX3	GCA_003315725.1	gb|QESU01000286.1|	minus	1	693	1181	100.0	100.0	5.64e-98	307.0	genuine_homolog	
SIX3_GCA_003615085.1_copy1	SIX3	GCA_003615085.1	gb|MRCU01000016.1|	minus	1	162130	162615	99.4	86.42	1.57e-82	265.0	genuine_homolog	
SIX3_GCA_003615085.1_copy2	SIX3	GCA_003615085.1	gb|MRCU01000019.1|	minus	1	216560	217045	99.4	86.42	1.57e-82	265.0	genuine_homolog	
SIX3_GCA_003977725.1_copy1	SIX3	GCA_003977725.1	gb|CM012196.1|	plus	1	661998	662486	100.0	99.39	5.2e-96	304.0	genuine_homolog	
SIX5_GCA_003315725.1_copy1	SIX5	GCA_003315725.1	gb|QESU01000286.1|	plus	3	2411	2901	100.0	84.33	1.1e-48	230.6	genuine_homolog	
SIX5_GCA_003977725.1_copy1	SIX5	GCA_003977725.1	gb|CM012196.1|	minus	3	660278	660768	100.0	84.33	1.06e-48	230.6	genuine_homolog	
SIX7_GCA_003315725.1_copy1	SIX7	GCA_003315725.1	gb|QESU01000255.1|	plus	1	10211	10870	100.0	100.0	8.39e-133	412.0	genuine_homolog	
SIX7_GCA_003615085.1_copy1	SIX7	GCA_003615085.1	gb|MRCU01000021.1|	minus	2	242587	243229	97.7	83.8	5.77e-85	332.9	genuine_homolog	
SIX7_GCA_003977725.1_copy1	SIX7	GCA_003977725.1	gb|CM012196.1|	minus	1	363265	363924	100.0	100.0	9.07e-133	412.0	genuine_homolog	
SIX7_GCA_013423245.1_copy1	SIX7	GCA_013423245.1	gb|CM023984.1|	plus	1	23385	24041	100.0	90.0	1.57e-114	360.0	genuine_homolog	
SIX7_GCA_013423245.1_copy2	SIX7	GCA_013423245.1	gb|CM023981.1|	minus	1	304130	304771	97.7	87.44	4.32e-111	350.0	genuine_homolog	
SIX7_GCA_013423245.1_copy3	SIX7	GCA_013423245.1	gb|CM023981.1|	minus	1	2309187	2309771	89.1	85.71	2.15e-105	334.0	genuine_homolog	
SIX7_GCA_013423245.1_copy4	SIX7	GCA_013423245.1	gb|CM023981.1|	plus	1	4043030	4043671	97.7	87.44	4.32e-111	350.0	genuine_homolog	
