#                                                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
221384at5125_1245745_0:0010c8|MRCU01000005.1:634438-640616|+ -            712 221384               -            499  4.8e-257  842.4  13.8   1   1  1.6e-256  1.6e-256  840.6   9.4     3   498   104   644   102   646 0.89 <unknown description>
221384at5125_660027_0:001691|MRCU01000005.1:637664-640721|+  -            789 221384               -            499  1.2e-256  841.1   8.4   1   2  1.2e-256  1.2e-256  841.1   8.4     3   498   146   686   144   688 0.89 <unknown description>
221384at5125_660027_0:001691|MRCU01000005.1:637664-640721|+  -            789 221384               -            499  1.2e-256  841.1   8.4   2   2         9         9  -10.7   8.7   476   490   737   751   723   762 0.39 <unknown description>
221384at5125_451672_0:004c1d|MRCU01000005.1:638494-640721|+  -            723 221384               -            499  1.7e-256  840.6   9.3   1   2  1.7e-256  1.7e-256  840.6   9.3     3   498    80   620    78   622 0.89 <unknown description>
221384at5125_451672_0:004c1d|MRCU01000005.1:638494-640721|+  -            723 221384               -            499  1.7e-256  840.6   9.3   2   2         9         9  -10.3   8.6   476   490   671   685   656   696 0.40 <unknown description>
221384at5125_327505_0:000d0a|MRCU01000005.1:635909-640721|+  -            947 221384               -            499  1.8e-256  840.5   8.3   1   2  1.8e-256  1.8e-256  840.5   8.3     3   498   304   844   302   846 0.89 <unknown description>
221384at5125_327505_0:000d0a|MRCU01000005.1:635909-640721|+  -            947 221384               -            499  1.8e-256  840.5   8.3   2   2         9         9  -10.9   8.7   476   490   895   909   881   920 0.39 <unknown description>
221384at5125_660122_0:000b26|MRCU01000005.1:638813-640364|+  -            518 221384               -            499  2.6e-252  826.8   4.1   1   1  1.6e-250  1.6e-250  820.9   4.1    10   482     1   518     1   518 0.89 <unknown description>
221384at5125_1229664_0:001860|MRCU01000005.1:639080-640721|+ -            548 221384               -            499  5.5e-207  677.3  10.8   1   3  5.5e-207  5.5e-207  677.3  10.8    99   498     1   445     1   447 0.86 <unknown description>
221384at5125_1229664_0:001860|MRCU01000005.1:639080-640721|+ -            548 221384               -            499  5.5e-207  677.3  10.8   2   3      0.72      0.72   -2.6   0.7   477   494   449   466   443   473 0.37 <unknown description>
221384at5125_1229664_0:001860|MRCU01000005.1:639080-640721|+ -            548 221384               -            499  5.5e-207  677.3  10.8   3   3         9         9   -9.5   8.3   476   490   496   510   480   521 0.41 <unknown description>
221384at5125_468837_0:001680|MRCU01000005.1:638798-639605|+  -            270 221384               -            499  1.1e-134  438.8   0.1   1   1  1.2e-134  1.2e-134  438.6   0.1     6   263     2   270     1   270 0.93 <unknown description>
221384at5125_2714763_0:001143|MRCU01000005.1:639548-640709|+ -            388 221384               -            499  2.6e-134  437.5  12.9   1   3  2.6e-134  2.6e-134  437.5  12.9   244   498     1   289     1   291 0.85 <unknown description>
221384at5125_2714763_0:001143|MRCU01000005.1:639548-640709|+ -            388 221384               -            499  2.6e-134  437.5  12.9   2   3      0.69      0.69   -2.6   1.8   479   493   293   307   285   318 0.37 <unknown description>
221384at5125_2714763_0:001143|MRCU01000005.1:639548-640709|+ -            388 221384               -            499  2.6e-134  437.5  12.9   3   3         9         9   -8.6   8.0   476   490   340   354   323   365 0.42 <unknown description>
221384at5125_911162_0:000ddb|MRCU01000005.1:639965-640709|+  -            249 221384               -            499   1.7e-58  187.5  10.6   1   3   1.7e-58   1.7e-58  187.5  10.6   365   498     1   150     1   151 0.86 <unknown description>
221384at5125_911162_0:000ddb|MRCU01000005.1:639965-640709|+  -            249 221384               -            499   1.7e-58  187.5  10.6   2   3       1.9       1.9   -4.0   3.9   478   493   155   170   147   180 0.38 <unknown description>
221384at5125_911162_0:000ddb|MRCU01000005.1:639965-640709|+  -            249 221384               -            499   1.7e-58  187.5  10.6   3   3         9         9   -6.8   7.1   476   490   201   215   183   227 0.43 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/221384at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/221384at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/hmmer_output/221384at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/221384at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/221384at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:59:09 2026
# [ok]
