gene	accession	copy_id_a	copy_id_b	match_type	verdict	excluded
SIX10	GCA_013423245.1	SIX10_GCA_013423245.1_copy1	SIX10_GCA_013423245.1_copy2	no_match	independent_copy	
SIX12	GCA_013423245.1	SIX12_GCA_013423245.1_copy1	SIX12_GCA_013423245.1_copy2	no_match	independent_copy	
SIX1	GCA_003315725.1	SIX1_GCA_003315725.1_copy1	SIX1_GCA_003315725.1_copy2	no_match	independent_copy	
SIX1	GCA_003977725.1	SIX1_GCA_003977725.1_copy1	SIX1_GCA_003977725.1_copy2	no_match	independent_copy	
SIX1	GCA_016164145.2	SIX1_GCA_016164145.2_copy1	SIX1_GCA_016164145.2_copy4	reverse_complement	assembly_duplicate	SIX1_GCA_016164145.2_copy1
SIX1	GCA_016166325.2	SIX1_GCA_016166325.2_copy1	SIX1_GCA_016166325.2_copy2	no_match	independent_copy	
SIX1	GCA_016166325.2	SIX1_GCA_016166325.2_copy1	SIX1_GCA_016166325.2_copy3	no_match	independent_copy	
SIX1	GCA_016166325.2	SIX1_GCA_016166325.2_copy2	SIX1_GCA_016166325.2_copy3	no_match	independent_copy	
SIX1	GCA_031834405.1	SIX1_GCA_031834405.1_copy1	SIX1_GCA_031834405.1_copy2	no_match	independent_copy	
SIX1	GCA_031834405.1	SIX1_GCA_031834405.1_copy1	SIX1_GCA_031834405.1_copy3	no_match	independent_copy	
SIX1	GCA_031834405.1	SIX1_GCA_031834405.1_copy2	SIX1_GCA_031834405.1_copy3	no_match	independent_copy	
SIX1	GCA_053754965.2	SIX1_GCA_053754965.2_copy1	SIX1_GCA_053754965.2_copy2	no_match	independent_copy	
SIX1	GCA_053754965.2	SIX1_GCA_053754965.2_copy1	SIX1_GCA_053754965.2_copy3	no_match	independent_copy	
SIX1	GCA_053754965.2	SIX1_GCA_053754965.2_copy2	SIX1_GCA_053754965.2_copy3	no_match	independent_copy	
SIX1	GCA_054130785.1	SIX1_GCA_054130785.1_copy1	SIX1_GCA_054130785.1_copy2	no_match	independent_copy	
SIX3	GCA_003615085.1	SIX3_GCA_003615085.1_copy1	SIX3_GCA_003615085.1_copy2	identical	assembly_duplicate_ambiguous_which_to_keep	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy1	SIX7_GCA_013423245.1_copy2	no_match	independent_copy	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy1	SIX7_GCA_013423245.1_copy3	no_match	independent_copy	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy1	SIX7_GCA_013423245.1_copy4	no_match	independent_copy	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy2	SIX7_GCA_013423245.1_copy3	no_match	independent_copy	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy2	SIX7_GCA_013423245.1_copy4	reverse_complement	assembly_duplicate_ambiguous_which_to_keep	
SIX7	GCA_013423245.1	SIX7_GCA_013423245.1_copy3	SIX7_GCA_013423245.1_copy4	no_match	independent_copy	
