Gene,Number_of_sequences,Alignment_length_aa,Conserved_sites,Variable_sites,Mean_pairwise_identity_%,Mean_divergence_%
SIX1,19,284,138,146,76.7,23.3
SIX3,3,163,140,23,90.54,9.46
SIX5,2,119,119,0,100.0,0.0
SIX7,5,220,188,32,91.07,8.93
SIX10,3,149,136,13,94.18,5.82
SIX12,5,429,406,23,97.13,2.87
