#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
194952at5125_426428_0:001760|CM010337.1:1572471-1573865|+  -            427 194952               -            334  2.6e-182  594.0   8.2   1   1  1.1e-177  1.1e-177  578.8   8.2     3   334    45   424    43   424 0.87 <unknown description>
194952at5125_1081107_0:001256|CM010337.1:1570437-1573865|+ -            430 194952               -            334  4.6e-174  566.9  14.0   1   3     2e-29     2e-29   91.5   0.0    11    69    39    97    32   106 0.95 <unknown description>
194952at5125_1081107_0:001256|CM010337.1:1570437-1573865|+ -            430 194952               -            334  4.6e-174  566.9  14.0   2   3    2e-109    2e-109  354.5   0.8    68   272   123   345   112   351 0.88 <unknown description>
194952at5125_1081107_0:001256|CM010337.1:1570437-1573865|+ -            430 194952               -            334  4.6e-174  566.9  14.0   3   3   1.1e-37   1.1e-37  118.6   6.5   257   334   348   427   344   427 0.93 <unknown description>
194952at5125_92637_0:002b97|CM010337.1:1572810-1573865|+   -            335 194952               -            334  4.3e-151  491.4   9.4   1   2  1.9e-113  1.9e-113  367.7   0.1    51   274     1   252     1   257 0.87 <unknown description>
194952at5125_92637_0:002b97|CM010337.1:1572810-1573865|+   -            335 194952               -            334  4.3e-151  491.4   9.4   2   2   6.9e-38   6.9e-38  119.3   6.5   257   334   253   332   248   332 0.93 <unknown description>
194952at5125_2364996_0:00333c|CM010337.1:1572567-1573682|+ -            334 194952               -            334  2.6e-147  479.0   4.8   1   2  6.5e-145  6.5e-145  471.1   0.1     3   274    13   312    11   317 0.89 <unknown description>
194952at5125_2364996_0:00333c|CM010337.1:1572567-1573682|+ -            334 194952               -            334  2.6e-147  479.0   4.8   2   2     0.028     0.028    2.3   3.0   257   277   313   333   309   334 0.83 <unknown description>
194952at5125_1806559_0:00063e|CM010337.1:1573043-1573865|+ -            275 194952               -            334  3.6e-144  468.7   8.7   1   2  3.5e-108  3.5e-108  350.4   0.1    85   274     3   192     1   197 0.96 <unknown description>
194952at5125_1806559_0:00063e|CM010337.1:1573043-1573865|+ -            275 194952               -            334  3.6e-144  468.7   8.7   2   2   5.3e-38   5.3e-38  119.7   6.9   257   334   193   272   183   272 0.92 <unknown description>
194952at5125_2714763_0:00155f|CM010337.1:1572471-1573265|+ -            227 194952               -            334   9.8e-73  233.9   0.0   1   1   1.6e-70   1.6e-70  226.6   0.0     3   157    45   227    43   227 0.85 <unknown description>
194952at5125_468837_0:00095f|CM010337.1:1573496-1573865|+  -            124 194952               -            334   5.8e-53  168.9  10.5   1   2     1e-16     1e-16   49.7   0.2   234   275     1    42     1    46 0.87 <unknown description>
194952at5125_468837_0:00095f|CM010337.1:1573496-1573865|+  -            124 194952               -            334   5.8e-53  168.9  10.5   2   2   7.3e-39   7.3e-39  122.5   6.5   257   334    42   121    37   121 0.93 <unknown description>
194952at5125_468837_0:000573|CM010337.1:1572576-1573151|+  -            154 194952               -            334   1.5e-46  147.8   0.0   1   2   1.8e-40   1.8e-40  127.8   0.0     3    89    10   106     8   111 0.91 <unknown description>
194952at5125_468837_0:000573|CM010337.1:1572576-1573151|+  -            154 194952               -            334   1.5e-46  147.8   0.0   2   2   4.3e-07   4.3e-07   18.1   0.0    84   119   119   154   109   154 0.89 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/194952at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/194952at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/hmmer_output/194952at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/194952at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/194952at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:03:15 2026
# [ok]
