genome,complete_single_copy,internal_stop_flagged,clean_single_copy
GCA_003315725.1,3996,187,3809
GCA_013085055.1,4006,198,3808
GCA_003615085.1,3991,196,3795
GCA_049306905.1,3993,185,3808
GCA_053754965.2,4012,178,3834
GCA_055944325.1,3987,197,3790
