copy_id	gene	accession	n_exons_found	exon_coords_in_window	orientation	protein_length	internal_stop_count	classification	status
SIX10_GCA_003315725.1_copy1	SIX10	GCA_003315725.1	2	[(1001, 1367), (1438, 1517)]	reverse_complement	149	0	complete	reextracted_ok
SIX10_GCA_003977725.1_copy1	SIX10	GCA_003977725.1	2	[(1001, 1080), (1151, 1517)]	forward	149	0	complete	reextracted_ok
SIX10_GCA_013423245.1_copy1	SIX10	GCA_013423245.1	2	[(1001, 1080), (1151, 1517)]	forward	149	0	complete	reextracted_ok
SIX5_GCA_003315725.1_copy1	SIX5	GCA_003315725.1	4	[(969, 1012), (1078, 1187), (1240, 1307), (1357, 1491)]	forward	119	0	complete	reextracted_ok
SIX5_GCA_003977725.1_copy1	SIX5	GCA_003977725.1	4	[(1001, 1135), (1185, 1252), (1305, 1414), (1480, 1523)]	reverse_complement	119	0	complete	reextracted_ok
