homolog_id	family	status	tree_decision	protein_file	cds_file
SIX10_GCA_003315725.1_copy1	SIX10	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX10/SIX10_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX10/SIX10_GCA_003315725.1_copy1.fasta
SIX10_GCA_003615085.1_copy1	SIX10	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX10/SIX10_GCA_003615085.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX10/SIX10_GCA_003615085.1_copy1.fasta
SIX10_GCA_003977725.1_copy1	SIX10	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX10/SIX10_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX10/SIX10_GCA_003977725.1_copy1.fasta
SIX10_GCA_013423245.1_copy1	SIX10	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX10/SIX10_GCA_013423245.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX10/SIX10_GCA_013423245.1_copy1.fasta
SIX10_GCA_013423245.1_copy2	SIX10	truncated	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX10/SIX10_GCA_013423245.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX10/SIX10_GCA_013423245.1_copy2.fasta
SIX12_GCA_003315725.1_copy1	SIX12	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX12/SIX12_GCA_003315725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX12/SIX12_GCA_003315725.1_copy1.fasta
SIX12_GCA_003615085.1_copy1	SIX12	complete	include_primary_tree	results/six_homologs/classified/translated_proteins/SIX12/SIX12_GCA_003615085.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX12/SIX12_GCA_003615085.1_copy1.fasta
SIX12_GCA_003977725.1_copy1	SIX12	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX12/SIX12_GCA_003977725.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX12/SIX12_GCA_003977725.1_copy1.fasta
SIX12_GCA_013423245.1_copy1	SIX12	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX12/SIX12_GCA_013423245.1_copy1.faa	results/six_homologs/classified/nt_sequences/SIX12/SIX12_GCA_013423245.1_copy1.fasta
SIX12_GCA_013423245.1_copy2	SIX12	pseudogenized	exclude_primary_tree_retain_homolog_record	results/six_homologs/classified/translated_proteins/SIX12/SIX12_GCA_013423245.1_copy2.faa	results/six_homologs/classified/nt_sequences/SIX12/SIX12_GCA_013423245.1_copy2.fasta
