copy_id	gene	accession	sseqid	sstrand	n_hsps_merged	genomic_start	genomic_end	query_coverage_pct	weighted_pident	best_evalue	sum_bitscore	status	status_note	source_table	scaffold_length	frame_selected	protein_length	ref_protein_length	internal_stop_count	ends_in_stop	assembly_boundary_flag	classification	final_status
SIX10_GCA_003315725.1_copy1	SIX10	GCA_003315725.1	gb|QESU01000255.1|	minus	2	5729	6245	100.0	100.0	3.1e-71	285.8	genuine_homolog		genuine	21997	exonerate:reverse_complement:0	149	149	0	False	False	complete	retained
SIX10_GCA_003615085.1_copy1	SIX10	GCA_003615085.1	gb|MRCU01000021.1|	plus	1	248225	248587	81.2	90.08	1.2e-58	196.0	genuine_homolog		genuine	331997	0	121	149	0	False	False	truncated	retained
SIX10_GCA_003977725.1_copy1	SIX10	GCA_003977725.1	gb|CM012196.1|	plus	2	367890	368406	100.0	100.0	3.22e-71	285.8	genuine_homolog		genuine	2138808	exonerate:forward:0	149	149	0	False	False	complete	retained
SIX10_GCA_013423245.1_copy1	SIX10	GCA_013423245.1	gb|CM023981.1|	plus	2	308004	308520	100.0	91.28	1.26e-62	256.8	genuine_homolog		genuine	8406827	exonerate:forward:0	149	149	0	False	False	complete	retained
SIX10_GCA_013423245.1_copy2	SIX10	GCA_013423245.1	gb|CM023981.1|	minus	1	4041794	4042159	81.9	90.98	1.33e-61	205.0	genuine_homolog		genuine	8406827	0	122	149	0	False	False	truncated	retained
SIX12_GCA_003315725.1_copy1	SIX12	GCA_003315725.1	gb|QESU01000255.1|	minus	1	7472	7900	100.0	88.11	5.06e-78	250.0	genuine_homolog		genuine	21997	0	143	127	1	False	False	pseudogenized	excluded_pseudogene
SIX12_GCA_003615085.1_copy1	SIX12	GCA_003615085.1	gb|MRCU01000021.1|	plus	1	244625	244984	94.5	92.5	2.17e-69	226.0	genuine_homolog		genuine	331997	0	120	127	0	False	False	complete	retained
SIX12_GCA_003977725.1_copy1	SIX12	GCA_003977725.1	gb|CM012196.1|	plus	1	366235	366663	100.0	88.11	5.41e-78	250.0	genuine_homolog		genuine	2138808	0	143	127	1	False	False	pseudogenized	excluded_pseudogene
SIX12_GCA_013423245.1_copy1	SIX12	GCA_013423245.1	gb|CM023981.1|	plus	1	305677	306105	100.0	82.52	5.84e-72	233.0	genuine_homolog		genuine	8406827	0	143	127	1	False	False	pseudogenized	excluded_pseudogene
SIX12_GCA_013423245.1_copy2	SIX12	GCA_013423245.1	gb|CM023982.1|	minus	1	535114	535542	100.0	83.92	7.27e-73	236.0	genuine_homolog		genuine	9704848	0	143	127	1	False	False	pseudogenized	excluded_pseudogene
SIX1_GCA_003315725.1_copy1	SIX1	GCA_003315725.1	gb|QESU01000253.1|	minus	1	12246	12803	66.4	82.26	4.47e-103	330.0	genuine_homolog		genuine	23208	0	186	280	0	False	False	truncated	retained
SIX1_GCA_003315725.1_copy2	SIX1	GCA_003315725.1	gb|QESU01000256.1|	minus	1	13143	13982	100.0	100.0	0.0	590.0	genuine_homolog		genuine	21667	0	280	280	0	False	False	complete	retained
SIX1_GCA_003977725.1_copy1	SIX1	GCA_003977725.1	gb|CM012196.1|	plus	1	347388	347945	66.4	82.26	4.87e-103	330.0	genuine_homolog		genuine	2138808	0	186	280	0	False	False	truncated	retained
SIX1_GCA_003977725.1_copy2	SIX1	GCA_003977725.1	gb|CM012196.1|	plus	1	776819	777658	100.0	99.64	0.0	588.0	genuine_homolog		genuine	2138808	0	280	280	0	False	False	complete	retained
SIX1_GCA_013423245.1_copy1	SIX1	GCA_013423245.1	gb|CM023981.1|	plus	1	2244404	2245222	100.0	71.38	1.27e-127	400.0	genuine_homolog		genuine	8406827	0	273	280	0	False	False	complete	retained
SIX1_GCA_014857105.1_copy1	SIX1	GCA_014857105.1	gb|CP052908.1|	plus	1	4573625	4574449	100.0	70.0	6.52e-125	392.0	genuine_homolog		genuine	5338378	0	275	280	0	False	False	complete	retained
SIX1_GCA_016164145.2_copy4	SIX1	GCA_016164145.2	gb|CM040507.1|	minus	2	2454416	2455239	98.2	65.22	1.33e-93	362.0	genuine_homolog		genuine	3596494	0	274	280	2	False	False	pseudogenized	excluded_pseudogene
SIX1_GCA_016166325.2_copy1	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	448663	449487	100.0	66.55	1.11e-116	369.0	genuine_homolog		genuine	1235582	0	275	280	0	False	False	complete	retained
SIX1_GCA_016166325.2_copy2	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	541795	542622	100.0	66.19	8.52e-116	366.0	genuine_homolog		genuine	1235582	0	276	280	0	False	False	complete	retained
SIX1_GCA_016166325.2_copy3	SIX1	GCA_016166325.2	gb|WIMV02000013.1|	plus	1	546884	547708	100.0	66.9	1.7e-116	368.0	genuine_homolog		genuine	1235582	0	275	280	0	False	False	complete	retained
SIX1_GCA_030345115.2_copy1	SIX1	GCA_030345115.2	gb|CP128284.1|	plus	1	1283350	1284165	100.0	73.67	1.83e-131	411.0	genuine_homolog		genuine	2237963	0	272	280	0	False	False	complete	retained
SIX1_GCA_031834405.1_copy1	SIX1	GCA_031834405.1	gb|CM063118.1|	minus	1	5920774	5921574	100.0	72.14	4.54e-129	404.0	genuine_homolog		genuine	6693355	0	267	280	0	False	False	complete	retained
SIX1_GCA_031834405.1_copy2	SIX1	GCA_031834405.1	gb|CM063118.1|	plus	1	6426875	6427696	99.6	69.89	1.84e-126	397.0	genuine_homolog		genuine	6693355	0	274	280	0	False	False	complete	retained
SIX1_GCA_031834405.1_copy3	SIX1	GCA_031834405.1	gb|CM063118.1|	minus	1	6464004	6464822	100.0	73.5	8.34e-133	415.0	genuine_homolog		genuine	6693355	0	273	280	0	False	False	complete	retained
SIX1_GCA_032206225.1_copy1	SIX1	GCA_032206225.1	gb|JACSDM010000050.1|	plus	1	14152	14970	100.0	72.08	4.72e-130	407.0	genuine_homolog		genuine	2224524	0	273	280	0	False	False	complete	retained
SIX1_GCA_053754955.2_copy2	SIX1	GCA_053754955.2	gb|CM132354.1|	minus	1	1634768	1635586	100.0	71.38	3.29e-128	402.0	genuine_homolog		genuine	2911131	0	273	280	0	False	False	complete	retained
SIX1_GCA_053754965.2_copy1	SIX1	GCA_053754965.2	gb|CM132358.1|	minus	1	5755812	5756612	100.0	72.14	4.43e-129	404.0	genuine_homolog		genuine	6529640	0	267	280	0	False	False	complete	retained
SIX1_GCA_053754965.2_copy2	SIX1	GCA_053754965.2	gb|CM132358.1|	plus	1	6262464	6263285	99.6	69.89	1.79e-126	397.0	genuine_homolog		genuine	6529640	0	274	280	0	False	False	complete	retained
SIX1_GCA_053754965.2_copy3	SIX1	GCA_053754965.2	gb|CM132358.1|	minus	1	6299592	6300410	100.0	73.5	8.13e-133	415.0	genuine_homolog		genuine	6529640	0	273	280	0	False	False	complete	retained
SIX1_GCA_054130785.1_copy1	SIX1	GCA_054130785.1	gb|JASCZF010000010.1|	minus	1	53103	53375	32.5	79.12	1.37e-37	141.0	genuine_homolog		genuine	200797	0	91	280	0	False	False	truncated	retained
SIX1_GCA_054130785.1_copy2	SIX1	GCA_054130785.1	gb|JASCZF010000003.1|	minus	1	818103	818930	100.0	69.75	2.25e-126	397.0	genuine_homolog		genuine	892522	0	276	280	0	False	False	complete	retained
SIX3_GCA_003315725.1_copy1	SIX3	GCA_003315725.1	gb|QESU01000286.1|	minus	1	693	1181	100.0	100.0	5.64e-98	307.0	genuine_homolog		genuine	3877	0	163	163	0	False	False	complete	retained
SIX3_GCA_003615085.1_copy1	SIX3	GCA_003615085.1	gb|MRCU01000016.1|	minus	1	162130	162615	99.4	86.42	1.57e-82	265.0	genuine_homolog		genuine	818454	0	162	163	0	False	False	complete	retained
SIX3_GCA_003977725.1_copy1	SIX3	GCA_003977725.1	gb|CM012196.1|	plus	1	661998	662486	100.0	99.39	5.2e-96	304.0	genuine_homolog		genuine	2138808	0	163	163	0	False	False	complete	retained
SIX5_GCA_003315725.1_copy1	SIX5	GCA_003315725.1	gb|QESU01000286.1|	plus	3	2411	2901	100.0	84.33	1.1e-48	230.6	genuine_homolog		genuine	3877	exonerate:forward:0	119	119	0	False	False	complete	retained
SIX5_GCA_003977725.1_copy1	SIX5	GCA_003977725.1	gb|CM012196.1|	minus	3	660278	660768	100.0	84.33	1.06e-48	230.6	genuine_homolog		genuine	2138808	exonerate:reverse_complement:0	119	119	0	False	False	complete	retained
SIX7_GCA_003315725.1_copy1	SIX7	GCA_003315725.1	gb|QESU01000255.1|	plus	1	10211	10870	100.0	100.0	8.39e-133	412.0	genuine_homolog		genuine	21997	0	220	220	0	False	False	complete	retained
SIX7_GCA_003615085.1_copy1	SIX7	GCA_003615085.1	gb|MRCU01000021.1|	minus	2	242587	243229	97.7	83.8	5.77e-85	332.9	genuine_homolog		genuine	331997	0	214	220	6	False	False	pseudogenized	excluded_pseudogene
SIX7_GCA_003977725.1_copy1	SIX7	GCA_003977725.1	gb|CM012196.1|	minus	1	363265	363924	100.0	100.0	9.07e-133	412.0	genuine_homolog		genuine	2138808	0	220	220	0	False	False	complete	retained
SIX7_GCA_013423245.1_copy1	SIX7	GCA_013423245.1	gb|CM023984.1|	plus	1	23385	24041	100.0	90.0	1.57e-114	360.0	genuine_homolog		genuine	1413315	0	219	220	0	False	False	complete	retained
SIX7_GCA_013423245.1_copy2	SIX7	GCA_013423245.1	gb|CM023981.1|	minus	1	304130	304771	97.7	87.44	4.32e-111	350.0	genuine_homolog		genuine	8406827	0	214	220	0	False	False	complete	retained
SIX7_GCA_013423245.1_copy3	SIX7	GCA_013423245.1	gb|CM023981.1|	minus	1	2309187	2309771	89.1	85.71	2.15e-105	334.0	genuine_homolog		genuine	8406827	0	195	220	0	False	False	truncated	retained
SIX7_GCA_013423245.1_copy4	SIX7	GCA_013423245.1	gb|CM023981.1|	plus	1	4043030	4043671	97.7	87.44	4.32e-111	350.0	genuine_homolog		genuine	8406827	0	214	220	0	False	False	complete	retained
SIX1_GCA_016164145.2_copy2	SIX1	GCA_016164145.2	gb|WILW02000022.1|	plus	1	71194	72018	100.0	64.06	1.61e-112	357.0	borderline_identity_manual_review	identity between floor and confident threshold	borderline	83298	0	275	280	0	False	False	complete	excluded_manual_duplicate
SIX1_GCA_016164145.2_copy3	SIX1	GCA_016164145.2	gb|CM040507.1|	minus	1	2449316	2450140	100.0	64.06	1.75e-112	357.0	borderline_identity_manual_review	identity between floor and confident threshold	borderline	3596494	0	275	280	0	False	False	complete	retained
SIX1_GCA_053754955.2_copy1	SIX1	GCA_053754955.2	gb|CM132354.1|	minus	1	1345682	1346494	98.9	60.21	9.72e-103	328.0	borderline_identity_manual_review	identity between floor and confident threshold	borderline	2911131	0	271	280	1	False	False	pseudogenized	excluded_pseudogene
