genome	forma_specialis	genes_present	contig	gene	start	end	strand	same_contig_as_partner	distance_bp	notes
GCA_003315725.1	lycopersici	SIX7,SIX10	QESU01000255.1	SIX10	5729	6245	minus	yes	3966	Reference (Fol4287)
GCA_003315725.1	lycopersici	SIX7,SIX10	QESU01000255.1	SIX7	10211	10870	plus	yes	3966	Reference (Fol4287)
GCA_003977725.1	lycopersici	SIX7,SIX10	CM012196.1	SIX7	363265	363924	minus	yes	3966	Identical order/orientation/distance to Fol4287
GCA_003977725.1	lycopersici	SIX7,SIX10	CM012196.1	SIX10	367890	368406	plus	yes	3966	Identical order/orientation/distance to Fol4287
GCA_013423245.1	lini	SIX7(x2),SIX10(x2)	CM023984.1	SIX7_copy1	23385	24041	plus	no	NA	Not linked to any SIX10 copy
GCA_013423245.1	lini	SIX7(x2),SIX10(x2)	CM023981.1	SIX7_copy2	304130	304771	minus	yes	3233	Linked pair, mirrors Fol4287 arrangement
GCA_013423245.1	lini	SIX7(x2),SIX10(x2)	CM023981.1	SIX10_copy1	308004	308520	plus	yes	3233	Linked pair, mirrors Fol4287 arrangement
GCA_013423245.1	lini	SIX7(x2),SIX10(x2)	CM023981.1	SIX10_copy2	4041794	4042159	minus	no	NA	Second SIX10 copy, distant on same contig, not part of the linked pair
GCA_003615085.1	cepae	SIX10,SIX12	MRCU01000021.1	SIX12	244625	244984	plus	yes	3241	No SIX7 in this genome; SIX10-SIX12 pair shows same tight linkage pattern
GCA_003615085.1	cepae	SIX10,SIX12	MRCU01000021.1	SIX10	248225	248587	plus	yes	3241	No SIX7 in this genome; SIX10-SIX12 pair shows same tight linkage pattern
