genome	og	contig	start	end	strand	identity	coverage
GCA_003315725.1	100016at5125	CM010336.1	3583601	3584848	-	0.9975	1.000
GCA_003315725.1	100134at5125	CM010338.1	1052502	1053490	+	0.9963	1.000
GCA_003315725.1	100193at5125	CM010335.1	4875584	4878348	-	0.991	1.000
GCA_003315725.1	100369at5125	CM010338.1	3183608	3185138	-	1.0	1.000
GCA_003315725.1	100543at5125	CM010336.1	2386274	2387827	-	0.9981	1.000
GCA_003315725.1	100591at5125	CM010338.1	3806594	3810276	+	0.9975	1.000
GCA_003315725.1	100890at5125	CM010338.1	3067925	3069779	-	0.9884	1.000
GCA_003315725.1	100912at5125	CM010341.1	1419741	1425399	-	0.9978	1.000
GCA_003315725.1	100938at5125	CM010338.1	3414853	3431194	-	0.9959	1.000
GCA_003315725.1	101132at5125	CM010341.1	591640	592281	+	0.986	0.767
GCA_003315725.1	101349at5125	CM010338.1	2063210	2064002	-	0.9609	1.000
GCA_003315725.1	101458at5125	CM010340.1	1008510	1009329	+	0.9921	1.000
GCA_003315725.1	101626at5125	CM010339.1	3333077	3335869	-	0.9857	1.000
GCA_003315725.1	101923at5125	CM010337.1	512675	513792	-	1.0	1.000
GCA_003315725.1	10195at5125	CM010335.1	4184740	4188377	+	0.9991	1.000
GCA_003315725.1	102187at5125	CM010339.1	2500080	2501445	+	0.9941	1.000
GCA_003315725.1	102371at5125	CM010337.1	3741797	3744459	-	0.9987	1.000
GCA_003315725.1	102376at5125	CM010338.1	2990927	2991710	+	0.9956	1.000
GCA_003315725.1	102380at5125	CM010340.1	2402708	2412733	-	0.9934	1.000
GCA_003315725.1	102469at5125	CM010339.1	3424181	3426937	-	0.992	1.000
GCA_003315725.1	102495at5125	CM010338.1	1473401	1474613	-	0.9936	1.000
GCA_003315725.1	102712at5125	CM010337.1	4141524	4144288	-	0.9944	1.000
GCA_003315725.1	102973at5125	CM010338.1	3713862	3714755	+	0.9966	1.000
GCA_003315725.1	102991at5125	CM010336.1	969555	974864	-	0.9959	1.000
GCA_003315725.1	102999at5125	CM010335.1	1718465	1720804	+	0.9949	1.000
GCA_003315725.1	103079at5125	CM010342.1	2328992	2330846	+	0.9922	1.000
GCA_003315725.1	103246at5125	CM010337.1	1068789	1078650	-	0.9962	1.000
GCA_003315725.1	103334at5125	CM010336.1	4682882	4684514	+	0.9736	1.000
GCA_003315725.1	103389at5125	CM010340.1	3218849	3221988	+	0.999	1.000
GCA_003315725.1	103464at5125	CM010335.1	2328743	2329712	-	0.9967	1.000
GCA_003315725.1	103501at5125	CM010335.1	4382642	4383005	-	1.0	1.000
GCA_003315725.1	103560at5125	CM010336.1	4150925	4152109	+	0.9975	1.000
GCA_003315725.1	103732at5125	CM010337.1	4285599	4286147	-	0.9945	1.000
GCA_003315725.1	103841at5125	CM010335.1	3539052	3540560	-	0.9979	1.000
GCA_003315725.1	103916at5125	CM010340.1	2847774	2849037	+	0.9859	1.000
GCA_003315725.1	104084at5125	CM010336.1	3124916	3126931	+	0.9939	1.000
GCA_003315725.1	104111at5125	CM010339.1	3550035	3550865	-	0.991	1.000
GCA_003315725.1	104173at5125	CM010338.1	1135814	1138185	+	0.957	1.000
GCA_003315725.1	104238at5125	CM010339.1	2279864	2281951	-	0.9971	1.000
GCA_003315725.1	104262at5125	CM010340.1	3033377	3034051	-	0.9938	1.000
GCA_003315725.1	104269at5125	CM010336.1	2973593	2979289	+	0.9984	1.000
GCA_003315725.1	104327at5125	CM010339.1	2165440	2169096	+	0.9975	1.000
GCA_003315725.1	104466at5125	CM010335.1	2507408	2509516	+	0.9986	1.000
GCA_003315725.1	104538at5125	CM010335.1	2765789	2768497	-	0.9922	1.000
GCA_003315725.1	104742at5125	CM010341.1	1070391	1071466	+	1.0	1.000
GCA_003315725.1	104766at5125	CM010335.1	734103	736696	-	0.9922	1.000
GCA_003315725.1	104768at5125	CM010338.1	696702	698350	-	1.0	1.000
GCA_003315725.1	104968at5125	CM010339.1	1588681	1589470	-	1.0	1.000
GCA_003315725.1	105138at5125	CM010339.1	1052797	1053987	+	0.9975	1.000
GCA_003315725.1	105180at5125	CM010341.1	1274102	1277233	+	0.996	1.000
GCA_003315725.1	105225at5125	CM010338.1	1592713	1594494	-	0.9983	1.000
GCA_003315725.1	105299at5125	CM010335.1	3592633	3596188	-	0.994	1.000
GCA_003315725.1	105394at5125	CM010340.1	2348788	2352923	-	0.995	1.000
GCA_003315725.1	105489at5125	CM010340.1	3034329	3035148	+	1.0	1.000
GCA_003315725.1	105530at5125	CM010340.1	1939443	1942781	+	0.9973	1.000
GCA_003315725.1	105580at5125	CM010342.1	961069	962745	-	0.9964	1.000
GCA_003315725.1	105614at5125	CM010335.1	4290085	4291044	+	0.9937	1.000
GCA_003315725.1	105654at5125	CM010340.1	2638099	2638606	+	1.0	1.000
