#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
149444at5125_1080343_0:0010c9|CM010805.1:1673203-1675879|+ -            823 149444               -            703         0 1189.8  11.8   1   1         0         0 1180.1  11.8     1   691     1   738     1   749 0.92 <unknown description>
149444at5125_2030778_0:000a19|CM010805.1:1673203-1675122|+ -            607 149444               -            703  2.1e-282  927.1  20.3   1   2    3e-126    3e-126  411.0   0.3     1   236     1   244     1   251 0.93 <unknown description>
149444at5125_2030778_0:000a19|CM010805.1:1673203-1675122|+ -            607 149444               -            703  2.1e-282  927.1  20.3   2   2    5e-158    5e-158  516.0  14.9   223   547   253   605   244   607 0.90 <unknown description>
149444at5125_117187_0:002484|CM010805.1:1673203-1674581|+  -            426 149444               -            703  1.1e-189  620.7   8.6   1   2  1.3e-126  1.3e-126  412.2   0.3     1   236     1   244     1   251 0.93 <unknown description>
149444at5125_117187_0:002484|CM010805.1:1673203-1674581|+  -            426 149444               -            703  1.1e-189  620.7   8.6   2   2   4.9e-66   4.9e-66  212.0   3.4   223   370   253   407   244   417 0.88 <unknown description>
149444at5125_2773459_0:000626|CM010805.1:1674402-1675879|+ -            474 149444               -            703  4.8e-174  569.0   6.0   1   2  1.4e-172  1.4e-172  564.1   3.9   336   691     1   389     1   401 0.92 <unknown description>
149444at5125_2773459_0:000626|CM010805.1:1674402-1675879|+ -            474 149444               -            703  4.8e-174  569.0   6.0   2   2      0.67      0.67   -3.3   0.0   681   702   413   438   409   439 0.76 <unknown description>
149444at5125_398673_0:002315|CM010805.1:1673203-1674300|+  -            350 149444               -            703  6.8e-165  538.7   9.4   1   2  7.3e-127  7.3e-127  413.0   0.3     1   236     1   244     1   250 0.93 <unknown description>
149444at5125_398673_0:002315|CM010805.1:1673203-1674300|+  -            350 149444               -            703  6.8e-165  538.7   9.4   2   2   4.8e-41   4.8e-41  129.4   3.9   224   319   254   350   246   350 0.91 <unknown description>
149444at5125_398673_0:002348|CM010805.1:1674705-1675879|+  -            375 149444               -            703  4.6e-139  453.3   2.0   1   2  4.6e-139  4.6e-139  453.3   2.0   412   691     1   290     1   302 0.94 <unknown description>
149444at5125_398673_0:002348|CM010805.1:1674705-1675879|+  -            375 149444               -            703  4.6e-139  453.3   2.0   2   2       0.5       0.5   -2.9   0.0   681   702   314   339   310   340 0.76 <unknown description>
149444at5125_2773459_0:00061e|CM010805.1:1673532-1674318|+ -            263 149444               -            703  7.4e-135  439.4  10.5   1   2   1.9e-96   1.9e-96  312.5   0.7    89   236     1   151     1   158 0.95 <unknown description>
149444at5125_2773459_0:00061e|CM010805.1:1673532-1674318|+ -            263 149444               -            703  7.4e-135  439.4  10.5   2   2   9.6e-42   9.6e-42  131.7   3.7   223   320   160   258   152   262 0.90 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/149444at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/149444at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/hmmer_output/149444at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/149444at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003615085.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/149444at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:57:31 2026
# [ok]
