genome	SIX1	SIX3	SIX5	SIX7	SIX10	SIX12
GCA_013347355.2	0	0	0	0	0	0
GCA_014857085.1	0	0	0	0	0	0
GCA_030345115.2	1	0	0	0	0	0
GCA_054643155.1	0	0	0	0	0	0
GCA_055853645.1	0	0	0	0	0	0
GCA_984579085.1	0	0	0	0	0	0
GCA_032206225.1	1	0	0	0	0	0
GCA_003615085.1	0	1	0	0	1	1
GCA_053754955.2	1	0	0	0	0	0
GCA_053754965.2	3	0	0	0	0	0
GCA_016164145.2	3	0	0	0	0	0
GCA_016166325.2	3	0	0	0	0	0
GCA_016170095.2	0	0	0	0	0	0
GCA_014857105.1	1	0	0	0	0	0
GCA_055944325.1	0	0	0	0	0	0
GCA_055944345.1	0	0	0	0	0	0
GCA_013423245.1	1	0	0	4	2	0
GCA_003977725.1	2	1	1	1	1	0
GCA_003315725.1	2	1	1	1	1	0
GCA_054130785.1	2	0	0	0	0	0
GCA_054643655.1	0	0	0	0	0	0
GCA_013347345.2	0	0	0	0	0	0
GCA_013347535.2	0	0	0	0	0	0
GCA_049306905.1	0	0	0	0	0	0
GCA_049307005.1	0	0	0	0	0	0
GCA_031834405.1	3	0	0	0	0	0
GCA_013085055.1	0	0	0	0	0	0
