#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
144019at5125_57161_0:00148c|CP052038.1:3883314-3888539|-   -            755 144019               -            756  1.2e-201  661.1   0.0   1   1  1.8e-201  1.8e-201  660.5   0.0     5   747    11   741     8   749 0.82 <unknown description>
144019at5125_1080343_0:001ab0|CP052038.1:3886069-3888536|- -            752 144019               -            756  2.3e-200  656.9   0.1   1   1  3.4e-200  3.4e-200  656.3   0.1     5   744    10   734     7   745 0.82 <unknown description>
144019at5125_1649129_0:000fa8|CP052038.1:3875952-3888491|- -            720 144019               -            756    3e-190  623.4   0.1   1   1  4.2e-190  4.2e-190  622.9   0.1    11   685     1   668     1   691 0.82 <unknown description>
144019at5125_2004952_0:001236|CP052038.1:1001383-1008870|- -            709 144019               -            756  1.3e-168  551.9   0.1   1   3   5.9e-67   5.9e-67  215.8   0.4   101   361    42   311    15   320 0.86 <unknown description>
144019at5125_2004952_0:001236|CP052038.1:1001383-1008870|- -            709 144019               -            756  1.3e-168  551.9   0.1   2   3     1e-94     1e-94  307.6   0.0   396   666   318   579   311   588 0.94 <unknown description>
144019at5125_2004952_0:001236|CP052038.1:1001383-1008870|- -            709 144019               -            756  1.3e-168  551.9   0.1   3   3   3.3e-09   3.3e-09   24.8   0.0   682   751   618   687   606   692 0.88 <unknown description>
144019at5125_2030778_0:001c70|CP052038.1:1006073-1008411|- -            605 144019               -            756    9e-168  549.1   0.5   1   3   5.9e-66   5.9e-66  212.4   1.5   140   361    12   227     3   235 0.93 <unknown description>
144019at5125_2030778_0:001c70|CP052038.1:1006073-1008411|- -            605 144019               -            756    9e-168  549.1   0.5   2   3   7.4e-95   7.4e-95  308.0   0.0   396   666   234   495   227   501 0.95 <unknown description>
144019at5125_2030778_0:001c70|CP052038.1:1006073-1008411|- -            605 144019               -            756    9e-168  549.1   0.5   3   3   4.1e-09   4.1e-09   24.5   0.0   682   749   534   601   522   605 0.88 <unknown description>
144019at5125_1081102_0:002256|CP052038.1:1004987-1008747|- -            759 144019               -            756  4.4e-167  546.8   0.3   1   4      0.12      0.12   -0.2   0.0   102   129     2    29     1    54 0.88 <unknown description>
144019at5125_1081102_0:002256|CP052038.1:1004987-1008747|- -            759 144019               -            756  4.4e-167  546.8   0.3   2   4   8.4e-66   8.4e-66  211.9   1.5   140   361    89   304    79   312 0.93 <unknown description>
