#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
223819at5125_61374_0:00050f|CP052038.1:1751814-1753695|-   -            600 223819               -            589  1.4e-302  992.7   6.5   1   1  8.7e-298  8.7e-298  976.9   6.5    37   589     2   597     1   597 0.91 <unknown description>
223819at5125_660027_0:00026c|CP052038.1:1751731-1754505|-  -            910 223819               -            589  2.9e-301  988.4  13.9   1   4         6         6   -9.5  11.2     5    28   167   190   161   224 0.58 <unknown description>
223819at5125_660027_0:00026c|CP052038.1:1751731-1754505|-  -            910 223819               -            589  2.9e-301  988.4  13.9   2   4  1.8e-117  1.8e-117  381.5   2.3     2   257   237   492   233   499 0.94 <unknown description>
223819at5125_660027_0:00026c|CP052038.1:1751731-1754505|-  -            910 223819               -            589  2.9e-301  988.4  13.9   3   4   5.3e-96   5.3e-96  310.6   0.5   236   426   491   683   486   697 0.94 <unknown description>
223819at5125_660027_0:00026c|CP052038.1:1751731-1754505|-  -            910 223819               -            589  2.9e-301  988.4  13.9   4   4   3.3e-99   3.3e-99  321.2   0.2   414   586   720   892   711   895 0.96 <unknown description>
223819at5125_1245745_0:001336|CP052038.1:1752516-1754505|- -            577 223819               -            589  2.9e-204  668.1   9.4   1   3         6         6   -9.0  11.5     5    28    80   103    73   144 0.59 <unknown description>
223819at5125_1245745_0:001336|CP052038.1:1752516-1754505|- -            577 223819               -            589  2.9e-204  668.1   9.4   2   3  6.8e-118  6.8e-118  382.9   2.2     2   257   150   405   145   411 0.94 <unknown description>
223819at5125_1245745_0:001336|CP052038.1:1752516-1754505|- -            577 223819               -            589  2.9e-204  668.1   9.4   3   3   3.7e-92   3.7e-92  297.9   0.8   236   407   404   577   399   577 0.96 <unknown description>
223819at5125_911162_0:001ac8|CP052038.1:1751820-1752996|-  -            393 223819               -            589  1.9e-195  639.0   2.8   1   2   2.6e-95   2.6e-95  308.3   0.3   250   426     2   180     1   194 0.95 <unknown description>
223819at5125_911162_0:001ac8|CP052038.1:1751820-1752996|-  -            393 223819               -            589  1.9e-195  639.0   2.8   2   2    3e-102    3e-102  331.2   0.1   414   589   217   392   208   392 0.96 <unknown description>
223819at5125_93591_0:001a2e|CP052038.1:1752900-1754220|-   -            441 223819               -            589  1.2e-128  418.4   3.4   1   3         6         6   -8.2  11.4     5    28    72    95    60   140 0.59 <unknown description>
223819at5125_93591_0:001a2e|CP052038.1:1752900-1754220|-   -            441 223819               -            589  1.2e-128  418.4   3.4   2   3  3.7e-118  3.7e-118  383.8   2.2     2   257   142   397   139   402 0.94 <unknown description>
223819at5125_93591_0:001a2e|CP052038.1:1752900-1754220|-   -            441 223819               -            589  1.2e-128  418.4   3.4   3   3   1.4e-14   1.4e-14   41.8   0.0   236   281   396   441   391   441 0.90 <unknown description>
223819at5125_468837_0:000a69|CP052038.1:1751820-1752486|-  -            223 223819               -            589  4.9e-103  333.8   0.1   1   1    6e-103    6e-103  333.5   0.1   413   589    46   222    38   222 0.96 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/223819at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/223819at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/hmmer_output/223819at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/223819at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_013085055.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/223819at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 15:53:46 2026
# [ok]
