Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_013347355.2	Fusarium oxysporum	Fus187		SAMN11520597	Fus187		Spinacia oleracea	USA: Skagit County, Washington	2008	Chromosome	Oxford Nanopore MinION	50445380	13	4294537
GCA_014857085.1	Fusarium oxysporum		170	SAMN14669697		170	Acacia koa	USA: Maui, Hawaii	2006	Chromosome	Illumina Truseq	49057733	273	587293
GCA_030345115.2	Fusarium oxysporum	Fo5176		SAMN35654617	Fo5176		Brassica oleracea	not collected	not collected	Complete Genome	PacBio	69556834	18	4366112
GCA_054643155.1	Fusarium oxysporum	LD-06		SAMN54270941	LD-06		Nicotiana tabacum L.	China:Hubei	2024	Complete Genome	PacBio	51734774	14	4802301
GCA_055853645.1	Fusarium oxysporum	FO12		SAMN55876492	FO12		Quercus suber	Spain	2016-06-01	Chromosome	Oxford Nanopore MinION; HiC Illumina Novaseq	57605083	86	4297787
GCA_984579085.1	Fusarium oxysporum			SAMEA122710082			Solanum tuberosum	Slovenia	2021-04	Chromosome	OXFORD_NANOPORE,ILUMINA	50981747	64	4759803
GCA_032206225.1	Fusarium oxysporum f. sp. albedinis	Foa 44		SAMN15893572	Foa 44		date palm cv. Majhoul	Morocco: Tafilalt-Rissani	1981	Chromosome	Illumina NovaSeq; Oxford Nanopore MinION	65971825	68	2783938
GCA_003615085.1	Fusarium oxysporum f. sp. cepae	FoC_Fus2		SAMN05529097	FoC_Fus2		Allium cepa	United Kingdom:Lincolnshire	missing	Chromosome	PacBio; Illumina MiSeq	53425788	34	4140032
GCA_053754955.2	Fusarium oxysporum f. sp. cubense	Tw-R1-1		SAMN48884716	Tw-R1-1		Infected Pisang Awak banana	Taiwan	2013	Chromosome	Illumina MiSeq; Oxford Nanopore MinION	50233457	17	4747746
GCA_053754965.2	Fusarium oxysporum f. sp. cubense	Tw-TR4-1		SAMN48884715	Tw-TR4-1		Infected Cavendish banana	Taiwan	2004	Chromosome	Illumina MiSeq; Oxford Nanopore MinION	48152668	18	4490478
GCA_016164145.2	Fusarium oxysporum f. sp. fragariae	MAFF727510		SAMN13063995	MAFF727510		Fragaria x ananassa	Japan: Nara prefecture	1990	Chromosome	PacBio Sequel	57345529	41	4484447
GCA_016166325.2	Fusarium oxysporum f. sp. fragariae	BRIP62122a		SAMN13063970	BRIP62122a		Fragaria x ananassa	Australia: near Palmview City, Queensland province	2002	Chromosome	PacBio Sequel	51480125	29	4951078
GCA_016170095.2	Fusarium oxysporum f. sp. fragariae	GL1381		SAMN13063982	GL1381		Fragaria x ananassa	USA: near San Luis Obispo city, California	2012	Chromosome	PacBio RSII	56921745	59	4363800
GCA_014857105.1	Fusarium oxysporum f. sp. koae		44	SAMN14669696		44	Acacia koa	USA: Hawaii, Hawaii	2005	Chromosome	Illumina Truseq	48133132	310	4223514
GCA_055944325.1	Fusarium oxysporum f. sp. lactucae		JCP043	SAMN40919072		JCP043	Lactuca sativa	USA: Huron, California	not collected	Complete Genome	Oxford Nanopore PromethION; PacBio Sequel	64104511	16	4634744
GCA_055944345.1	Fusarium oxysporum f. sp. lactucae		AT141	SAMN40919090		AT141	Lactuca sativa	Spain	not collected	Complete Genome	Oxford Nanopore PromethION; PacBio	68502166	19	4695532
GCA_013423245.1	Fusarium oxysporum f. sp. lini	39		SAMN14843692	39		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina; PacBio RS	69459321	139	1712109
GCA_003977725.1	Fusarium oxysporum f. sp. lycopersici	race 3	D11	SAMN10080742	race 3	D11	Solanum lycopersicum	USA: Yolo County, California	2010-09-07	Chromosome	PacBio RSII	57229625	38	4408267
GCA_003315725.1	Fusarium oxysporum f. sp. lycopersici 4287	4287		SAMN08942773	4287		Solanum lycopersicum	Spain	2016	Chromosome	Illumina HiSeq; PacBio	53866543	503	1338693
GCA_054130785.1	Fusarium oxysporum f. sp. phaseoli	FOP-SP1		SAMN34996102	FOP-SP1		Phaseolus vulgaris	Spain: Avila, La Carrera	1993	Chromosome	PacBio RS; IonTorrent	54437586	241	1046721
GCA_054643655.1	Fusarium oxysporum f. sp. phaseoli	LM-2		SAMN54519265	LM-2		Vigna unguiculata	China: Hainan	2025	Chromosome	Illumina NovaSeq 6000; PacBio Sequel II; Hi-C	53359552	21	4722721
GCA_013347345.2	Fusarium oxysporum f. sp. spinaciae	Fus254		SAMN11520602	Fus254		Spinacia oleracea	USA: Washington County, Oregon	2009	Chromosome	Oxford Nanopore MinION	63669648	27	4070646
GCA_013347535.2	Fusarium oxysporum f. sp. spinaciae	Fus167		SAMN11520595	Fus167		Spinacia oleracea	USA: Arkansas	1991	Chromosome	Oxford Nanopore MinION	64054962	25	4380961
GCA_049306905.1	Fusarium oxysporum f. sp. vasinfectum	VCG 01112		SAMN45866338	VCG 01112		Gossypium hirsutum	Australia: MacInyre Valley, NSW	1995-01-05	Chromosome	HiC + PacBio	58678871	25	4433392
GCA_049307005.1	Fusarium oxysporum f. sp. vasinfectum	VCG 01111		SAMN45866337	VCG 01111		Gossypium hirsutum	Australia: Darkubg Downs, QLD	1993-05-26	Chromosome	HiC + PacBio	56291533	27	4299034
GCA_031834405.1	Fusarium oxysporum II5	II5		SAMN29813974	II5		banana	Indonesia	2013	Chromosome	PacBio	49425076	69	4484645
GCA_013085055.1	Fusarium oxysporum Fo47	Fo47		SAMN14572364	Fo47			not collected	not collected	Complete Genome	PacBio RSII	50358849	12	4523040
