marker_id	genomes_found	status
100016at5125	6	OK
100134at5125	6	OK
100193at5125	6	OK
100369at5125	6	OK
100543at5125	6	OK
100591at5125	6	OK
100890at5125	6	OK
100912at5125	6	OK
100938at5125	6	OK
101132at5125	6	OK
101349at5125	6	OK
101626at5125	6	OK
101923at5125	6	OK
10195at5125	6	OK
102187at5125	6	OK
102371at5125	6	OK
102376at5125	6	OK
102380at5125	6	OK
102469at5125	6	OK
102495at5125	6	OK
102712at5125	6	OK
102973at5125	6	OK
102991at5125	6	OK
102999at5125	6	OK
103079at5125	6	OK
103246at5125	6	OK
103389at5125	6	OK
103464at5125	6	OK
103501at5125	6	OK
103560at5125	6	OK
103732at5125	6	OK
103841at5125	6	OK
103916at5125	6	OK
104084at5125	6	OK
104111at5125	6	OK
104173at5125	6	OK
104238at5125	6	OK
104262at5125	6	OK
104269at5125	6	OK
104466at5125	6	OK
104538at5125	6	OK
104742at5125	6	OK
104766at5125	6	OK
104768at5125	6	OK
104968at5125	6	OK
105138at5125	6	OK
105180at5125	6	OK
105225at5125	6	OK
105299at5125	6	OK
105489at5125	6	OK
105530at5125	6	OK
105580at5125	6	OK
105614at5125	6	OK
105654at5125	6	OK
105695at5125	6	OK
105776at5125	6	OK
105939at5125	6	OK
106128at5125	6	OK
106152at5125	6	OK
106221at5125	6	OK
106310at5125	6	OK
106359at5125	6	OK
106422at5125	6	OK
106494at5125	6	OK
106566at5125	6	OK
106728at5125	6	OK
106881at5125	6	OK
106933at5125	6	OK
106941at5125	6	OK
106967at5125	6	OK
107077at5125	6	OK
107152at5125	6	OK
107223at5125	6	OK
107275at5125	6	OK
107302at5125	6	OK
10731at5125	6	OK
107397at5125	6	OK
107412at5125	6	OK
107539at5125	6	OK
107762at5125	6	OK
107805at5125	6	OK
107837at5125	6	OK
107842at5125	6	OK
107962at5125	6	OK
108018at5125	6	OK
108043at5125	6	OK
108096at5125	6	OK
108323at5125	6	OK
108705at5125	6	OK
108906at5125	6	OK
108912at5125	6	OK
109234at5125	6	OK
109291at5125	6	OK
109388at5125	6	OK
109405at5125	6	OK
109489at5125	6	OK
109622at5125	6	OK
109683at5125	6	OK
109748at5125	6	OK
109749at5125	6	OK
109787at5125	6	OK
109995at5125	6	OK
110213at5125	6	OK
110350at5125	6	OK
110477at5125	6	OK
110553at5125	6	OK
110607at5125	6	OK
110706at5125	6	OK
110760at5125	6	OK
111006at5125	6	OK
111022at5125	6	OK
111121at5125	6	OK
111141at5125	6	OK
111250at5125	6	OK
111256at5125	6	OK
111448at5125	6	OK
111472at5125	6	OK
111633at5125	6	OK
111745at5125	6	OK
111793at5125	6	OK
111814at5125	6	OK
111824at5125	6	OK
111974at5125	6	OK
112361at5125	6	OK
112495at5125	6	OK
1126at5125	6	OK
112759at5125	6	OK
112857at5125	6	OK
113297at5125	6	OK
113478at5125	6	OK
113652at5125	6	OK
113708at5125	6	OK
113918at5125	6	OK
113996at5125	6	OK
114075at5125	6	OK
114290at5125	6	OK
114765at5125	6	OK
114818at5125	6	OK
114988at5125	6	OK
11508at5125	6	OK
115096at5125	6	OK
115231at5125	6	OK
115232at5125	6	OK
115704at5125	6	OK
115723at5125	6	OK
115821at5125	6	OK
116059at5125	6	OK
116160at5125	6	OK
116354at5125	6	OK
116362at5125	6	OK
116774at5125	6	OK
116802at5125	6	OK
116813at5125	6	OK
116853at5125	6	OK
116889at5125	6	OK
116909at5125	6	OK
117043at5125	6	OK
117138at5125	6	OK
117213at5125	6	OK
117246at5125	6	OK
117310at5125	6	OK
117335at5125	6	OK
117461at5125	6	OK
117522at5125	6	OK
117651at5125	6	OK
117708at5125	6	OK
