marker_id	start	end
100016at5125	1	395
100134at5125	396	667
100193at5125	668	1146
100369at5125	1147	1621
100543at5125	1622	2138
100591at5125	2139	3327
100890at5125	3328	3928
100912at5125	3929	5749
100938at5125	5750	10894
101132at5125	10895	11175
101349at5125	11176	11347
101626at5125	11348	12246
101923at5125	12247	12602
10195at5125	12603	13766
102187at5125	13767	14107
102371at5125	14108	14891
102376at5125	14892	15118
102380at5125	15119	16139
102469at5125	16140	17018
102495at5125	17019	17382
102712at5125	17383	18269
102973at5125	18270	18566
102991at5125	18567	20285
102999at5125	20286	21064
103079at5125	21065	21579
103246at5125	21580	22402
103389at5125	22403	23365
103464at5125	23366	23667
103501at5125	23668	23745
103560at5125	23746	24139
103732at5125	24140	24321
103841at5125	24322	24807
103916at5125	24808	25209
104084at5125	25210	25864
104111at5125	25865	26121
104173at5125	26122	26706
104238at5125	26707	27401
104262at5125	27402	27561
104269at5125	27562	29425
104466at5125	29426	30127
104538at5125	30128	31026
104742at5125	31027	31350
104766at5125	31351	32075
104768at5125	32076	32604
104968at5125	32605	32850
105138at5125	32851	33246
105180at5125	33247	34255
105225at5125	34256	34848
105299at5125	34849	35885
105489at5125	35886	36089
105530at5125	36090	37201
105580at5125	37202	37759
105614at5125	37760	38078
105654at5125	38079	38227
105695at5125	38228	38923
105776at5125	38924	39500
105939at5125	39501	40099
106128at5125	40100	41098
106152at5125	41099	42297
106221at5125	42298	43092
106310at5125	43093	45316
106359at5125	45317	45968
106422at5125	45969	46496
106494at5125	46497	47017
106566at5125	47018	47605
106728at5125	47606	48141
106881at5125	48142	49968
106933at5125	49969	50437
106941at5125	50438	52662
106967at5125	52663	52820
107077at5125	52821	53864
107152at5125	53865	54527
107223at5125	54528	54660
107275at5125	54661	55080
107302at5125	55081	55981
10731at5125	55982	56133
107397at5125	56134	56871
107412at5125	56872	57405
107539at5125	57406	58281
107762at5125	58282	58631
107805at5125	58632	59524
107837at5125	59525	60054
107842at5125	60055	60364
107962at5125	60365	60686
108018at5125	60687	61053
108043at5125	61054	61336
108096at5125	61337	62120
108323at5125	62121	62426
108705at5125	62427	62594
108906at5125	62595	63566
108912at5125	63567	64441
109234at5125	64442	65086
109291at5125	65087	65594
109388at5125	65595	65986
109405at5125	65987	66485
109489at5125	66486	67111
109622at5125	67112	67434
109683at5125	67435	68255
109748at5125	68256	68607
109749at5125	68608	69051
109787at5125	69052	69431
109995at5125	69432	70193
110213at5125	70194	70565
110350at5125	70566	70921
110477at5125	70922	71149
110553at5125	71150	71530
110607at5125	71531	72550
110706at5125	72551	72793
110760at5125	72794	73591
111006at5125	73592	74118
111022at5125	74119	74268
111121at5125	74269	74654
111141at5125	74655	74811
111250at5125	74812	75066
111256at5125	75067	75890
111448at5125	75891	76598
111472at5125	76599	76734
111633at5125	76735	77155
111745at5125	77156	78666
111793at5125	78667	78945
111814at5125	78946	79127
111824at5125	79128	79659
111974at5125	79660	79908
112361at5125	79909	80238
112495at5125	80239	80627
1126at5125	80628	80731
112759at5125	80732	81165
112857at5125	81166	81853
113297at5125	81854	82152
113478at5125	82153	83230
113652at5125	83231	85750
113708at5125	85751	86362
113918at5125	86363	86889
113996at5125	86890	87238
114075at5125	87239	87515
114290at5125	87516	88257
114765at5125	88258	88761
114818at5125	88762	89354
114988at5125	89355	89557
11508at5125	89558	89807
115096at5125	89808	90129
115231at5125	90130	90864
115232at5125	90865	91380
115704at5125	91381	91728
115723at5125	91729	92243
115821at5125	92244	92602
116059at5125	92603	93282
116160at5125	93283	94335
116354at5125	94336	94968
116362at5125	94969	95625
116774at5125	95626	96133
116802at5125	96134	96705
116813at5125	96706	97350
116853at5125	97351	97996
116889at5125	97997	98874
116909at5125	98875	99440
117043at5125	99441	100285
117138at5125	100286	100711
117213at5125	100712	100845
117246at5125	100846	101598
117310at5125	101599	102322
117335at5125	102323	102707
117461at5125	102708	102970
117522at5125	102971	103426
117651at5125	103427	103815
117708at5125	103816	104648
117713at5125	104649	105022
117758at5125	105023	105714
117851at5125	105715	106356
117933at5125	106357	106671
117967at5125	106672	107072
118152at5125	107073	107408
118180at5125	107409	107820
118228at5125	107821	108141
118240at5125	108142	108436
118246at5125	108437	109159
