#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
223819at5125_61374_0:00050f|CM010335.1:4612699-4614592|+   -            600 223819               -            589  2.1e-302  992.1   6.1   1   1  1.3e-297  1.3e-297  976.3   6.1    37   589     2   597     1   597 0.91 <unknown description>
223819at5125_660025_0:0026b1|CM010335.1:4611889-4614675|+  -            914 223819               -            589  9.2e-301  986.7  13.1   1   4         6         6   -9.4  11.7     5    29   167   191   161   227 0.59 <unknown description>
223819at5125_660025_0:0026b1|CM010335.1:4611889-4614675|+  -            914 223819               -            589  9.2e-301  986.7  13.1   2   4  3.8e-117  3.8e-117  380.4   2.0     4   257   239   492   234   498 0.93 <unknown description>
223819at5125_660025_0:0026b1|CM010335.1:4611889-4614675|+  -            914 223819               -            589  9.2e-301  986.7  13.1   3   4   7.8e-96   7.8e-96  310.1   0.5   236   426   491   683   486   695 0.94 <unknown description>
223819at5125_660025_0:0026b1|CM010335.1:4611889-4614675|+  -            914 223819               -            589  9.2e-301  986.7  13.1   4   4   4.9e-99   4.9e-99  320.6   0.1   414   586   724   896   715   899 0.96 <unknown description>
223819at5125_1245745_0:001336|CM010335.1:4611889-4613878|+ -            577 223819               -            589  8.5e-204  666.6   8.9   1   3         6         6   -8.4  11.4     5    29    80   104    74   136 0.58 <unknown description>
223819at5125_1245745_0:001336|CM010335.1:4611889-4613878|+ -            577 223819               -            589  8.5e-204  666.6   8.9   2   3  1.5e-117  1.5e-117  381.8   2.0     4   257   152   405   147   410 0.93 <unknown description>
223819at5125_1245745_0:001336|CM010335.1:4611889-4613878|+ -            577 223819               -            589  8.5e-204  666.6   8.9   3   3   5.6e-92   5.6e-92  297.3   0.7   239   407   407   577   400   577 0.96 <unknown description>
223819at5125_911162_0:001ac8|CM010335.1:4613398-4614586|+  -            397 223819               -            589  3.3e-195  638.2   2.5   1   2   3.8e-95   3.8e-95  307.8   0.3   250   426     2   180     1   193 0.95 <unknown description>
223819at5125_911162_0:001ac8|CM010335.1:4613398-4614586|+  -            397 223819               -            589  3.3e-195  638.2   2.5   2   2  4.5e-102  4.5e-102  330.6   0.1   414   589   221   396   212   396 0.96 <unknown description>
223819at5125_93591_0:001a2e|CM010335.1:4612174-4613494|+   -            441 223819               -            589  2.2e-128  417.5   3.0   1   3         6         6   -8.0  11.6     5    29    72    96    65   133 0.59 <unknown description>
223819at5125_93591_0:001a2e|CM010335.1:4612174-4613494|+   -            441 223819               -            589  2.2e-128  417.5   3.0   2   3  6.8e-118  6.8e-118  382.9   1.8     4   257   144   397   139   402 0.93 <unknown description>
223819at5125_93591_0:001a2e|CM010335.1:4612174-4613494|+   -            441 223819               -            589  2.2e-128  417.5   3.0   3   3   1.4e-14   1.4e-14   41.8   0.0   236   281   396   441   391   441 0.90 <unknown description>
223819at5125_468837_0:000a69|CM010335.1:4613908-4614586|+  -            227 223819               -            589  7.6e-103  333.2   0.1   1   1  9.3e-103  9.3e-103  332.9   0.1   413   589    50   226    42   226 0.96 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/223819at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/223819at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/hmmer_output/223819at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/223819at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/223819at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:03:51 2026
# [ok]
