Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_000733055.3	Fusarium oxysporum	UASWS AC1		SAMN02666737	UASWS AC1			Switzerland:Geneva	2012	Scaffold	Illumina HiSeq	50531372	2281	481246
GCA_001703125.1	Fusarium oxysporum	FoMN14		SAMN04348799	FoMN14			USA: California	missing	Scaffold	Illumina HiSeq	48996880	2112	283607
GCA_001931975.2	Fusarium oxysporum	IMV 00293		SAMN06076684	IMV 00293			Ukraine	1998-10-06	Scaffold	Illumina HiSeq	51318644	1054	336534
GCA_002233935.2	Fusarium oxysporum	Tu58		SAMN07201033	Tu58			Netherlands	missing	Scaffold	Illumina HiSeq	47233678	896	746902
GCA_002233955.2	Fusarium oxysporum	KOD888		SAMN07201032	KOD888			USA: California	missing	Scaffold	Illumina HiSeq	50403639	2161	295150
GCA_002233985.2	Fusarium oxysporum	KOD887		SAMN07201031	KOD887			USA: California	missing	Scaffold	Illumina HiSeq	59417736	21435	247902
GCA_002233995.2	Fusarium oxysporum	KOD886		SAMN07201030	KOD886			USA: California	missing	Scaffold	Illumina HiSeq	50410650	2172	340621
GCA_002894245.1	Fusarium oxysporum	CS5870		SAMN06234613	CS5870		wheat	Australia: Western Australia, Near York	2008-11-11	Scaffold	Illumina HiSeq	51381387	1862	264543
GCA_003025205.1	Fusarium oxysporum	VEG-01C1		SAMN08662974	VEG-01C1		Zinnia hybrid cultivar	not collected	2017-03-08	Scaffold	Illumina HiSeq	48787031	3412	187299
GCA_003025235.1	Fusarium oxysporum	VEG-01C2		SAMN08662975	VEG-01C2		Zinnia hybrid cultivar	not collected	2017-03-08	Scaffold	Illumina HiSeq	48477235	3976	233572
GCA_003615115.1	Fusarium oxysporum	Fo_A13		SAMN05529101	Fo_A13		Allium cepa	United Kingdom:Bedfordshire	2009	Scaffold	Illumina MiSeq	54787818	3148	167609
GCA_003615155.1	Fusarium oxysporum	Fo_A28		SAMN05529100	Fo_A28		Allium cepa	United Kingdom:Bedfordshire	2009	Scaffold	Illumina MiSeq	53038185	2388	297304
GCA_003615165.1	Fusarium oxysporum	Fo_CB3		SAMN05529103	Fo_CB3		Allium cepa	United Kingdom	2012	Scaffold	Illumina MiSeq	50515499	1731	237456
GCA_003615185.1	Fusarium oxysporum	Fo_PG		SAMN05529102	Fo_PG		Allium cepa	United Kingdom:Cambridgeshire	missing	Scaffold	Illumina MiSeq	50292220	927	413310
GCA_003704975.1	Fusarium oxysporum	MOD1-FUNGI9		SAMN10078281	MOD1-FUNGI9			USA:MD	2018-04-04	Contig	Illumina NextSeq 500	47405159	2367	64064
GCA_003705035.1	Fusarium oxysporum	MOD1-FUNGI16		SAMN10078288	MOD1-FUNGI16			USA:MD	2018-04-04	Contig	Illumina NextSeq 500	44403228	943	262090
GCA_003705045.1	Fusarium oxysporum	MOD1-FUNGI11		SAMN10078283	MOD1-FUNGI11			USA:MD	2018-04-04	Contig	Illumina NextSeq 500	46236216	1374	176916
GCA_003709395.1	Fusarium oxysporum	MOD1-FUNGI10		SAMN10078282	MOD1-FUNGI10			USA:MD	2018-04-04	Contig	Illumina NextSeq 500	46207175	1943	66660
GCA_004291455.1	Fusarium oxysporum	ISS-F3		SAMN09813554	ISS-F3			USA: International Space Station	2016-05	Scaffold	Illumina HiSeq	53145029	3233	331775
GCA_004292535.1	Fusarium oxysporum	ISS-F4		SAMN09814171	ISS-F4			USA: International Space Station	2016-05	Scaffold	Illumina HiSeq	53250068	3642	324543
GCA_009297365.1	Fusarium oxysporum	RBG5844		SAMN12869107	RBG5844		missing	Australia	2012	Contig	Illumina HiSeq	52431739	5223	171441
GCA_009297385.1	Fusarium oxysporum	RBG5714		SAMN12869102	RBG5714		missing	Australia	2012	Contig	Illumina HiSeq	55704661	7964	56833
GCA_009297405.1	Fusarium oxysporum	RBG5783		SAMN12869103	RBG5783		missing	Australia	2012	Contig	Illumina HiSeq; Oxford nanopore	51072846	8531	126616
GCA_009297425.1	Fusarium oxysporum	RBG6416		SAMN12869119	RBG6416		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	50413489	5786	63741
GCA_009297445.1	Fusarium oxysporum	RBG5689		SAMN12869101	RBG5689		missing	Australia	2012	Contig	Illumina HiSeq	50524394	4075	144439
GCA_009297465.1	Fusarium oxysporum	RBG6400		SAMN12869117	RBG6400		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49751723	6304	65217
GCA_009297485.1	Fusarium oxysporum	RBG6313		SAMN12869111	RBG6313		missing	Australia	2012	Contig	Illumina HiSeq; Oxford nanopore	45802036	3298	423753
GCA_009297495.1	Fusarium oxysporum	RBG6398		SAMN12869116	RBG6398		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	47808082	2261	116868
GCA_009297505.1	Fusarium oxysporum	RBG5862		SAMN12869108	RBG5862		missing	Australia	2012	Contig	Illumina HiSeq	50794938	4352	102476
GCA_009297515.1	Fusarium oxysporum	RBG5831		SAMN12869104	RBG5831		missing	Australia	2012	Contig	Illumina HiSeq	51901877	4723	55565
GCA_009297555.1	Fusarium oxysporum	RBG6397		SAMN12869115	RBG6397		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	51847577	6674	88090
GCA_009297575.1	Fusarium oxysporum	RBG6396		SAMN12869114	RBG6396		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49217605	5820	30432
GCA_009297605.1	Fusarium oxysporum	RBG6358		SAMN12869113	RBG6358		missing	Australia	2012	Contig	Illumina HiSeq	50903078	2995	154193
GCA_009297625.1	Fusarium oxysporum	RBG6309		SAMN12869110	RBG6309		missing	Australia	2012	Contig	Illumina HiSeq	48709879	4303	53253
GCA_009297635.1	Fusarium oxysporum	RBG6301		SAMN12869109	RBG6301		missing	Australia	2012	Contig	Illumina HiSeq	52422381	5001	48342
GCA_009297655.1	Fusarium oxysporum	RBG5836		SAMN12869106	RBG5836		missing	Australia	2012	Contig	Illumina HiSeq	52952153	7253	27673
GCA_009297675.1	Fusarium oxysporum	RBG5833		SAMN12869105	RBG5833		missing	Australia	2012	Contig	Illumina HiSeq	57216458	11714	20132
GCA_009297695.1	Fusarium oxysporum	RBG6431		SAMN12869129	RBG6431		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	48186732	2707	94693
GCA_009297715.1	Fusarium oxysporum	RBG6448		SAMN12869133	RBG6448		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	48037246	3571	123208
GCA_009297725.1	Fusarium oxysporum	RBG6425		SAMN12869127	RBG6425		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq; Oxford nanopore	50381361	4601	122860
GCA_009297735.1	Fusarium oxysporum	RBG6422		SAMN12869125	RBG6422		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49487158	5462	72812
GCA_009297755.1	Fusarium oxysporum	RBG6421		SAMN12869124	RBG6421		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	50406897	7415	28366
GCA_009297785.1	Fusarium oxysporum	RBG6420		SAMN12869123	RBG6420		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	48414403	3580	91614
GCA_009297825.1	Fusarium oxysporum	RBG6419		SAMN12869122	RBG6419		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq	49053628	3403	96327
GCA_009297835.1	Fusarium oxysporum	RBG6418		SAMN12869121	RBG6418		Lathyrus oleraceus	Australia	2003	Contig	Illumina HiSeq; Oxford nanopore	52809782	5516	30560
GCA_009297855.1	Fusarium oxysporum	RBG6324		SAMN12869112	RBG6324		missing	Australia	2012	Contig	Illumina HiSeq	51691497	12866	23109
