copy_id	gene	accession	sseqid	sstrand	n_hsps_merged	genomic_start	genomic_end	query_coverage_pct	weighted_pident	best_evalue	sum_bitscore
SIX1_GCA_016164145.2_copy1	SIX1	GCA_016164145.2	gb|WILW02000022.1|	plus	2	66095	66918	98.2	65.22	1.36e-93	362.0
SIX1_GCA_016164145.2_copy2	SIX1	GCA_016164145.2	gb|WILW02000022.1|	plus	1	71194	72018	100.0	64.06	1.61e-112	357.0
SIX1_GCA_016164145.2_copy3	SIX1	GCA_016164145.2	gb|CM040507.1|	minus	1	2449316	2450140	100.0	64.06	1.75e-112	357.0
SIX1_GCA_016164145.2_copy4	SIX1	GCA_016164145.2	gb|CM040507.1|	minus	2	2454416	2455239	98.2	65.22	1.33e-93	362.0
