#                                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
148373at5125_5516_0:000961|CM010337.1:2112862-2115051|+    -            702 148373               -            689         0 1268.7  15.7   1   1         0         0 1268.4  15.7    24   689    15   701     4   701 0.94 <unknown description>
148373at5125_485398_0:00226d|CM010337.1:2112247-2115051|+  -            907 148373               -            689         0 1263.9  19.8   1   2      0.36      0.36   -2.1   0.7    42    91    36    72    19    93 0.47 <unknown description>
148373at5125_485398_0:00226d|CM010337.1:2112247-2115051|+  -            907 148373               -            689         0 1263.9  19.8   2   2         0         0 1263.9  19.8    23   689   219   906   176   906 0.92 <unknown description>
148373at5125_1081105_0:001201|CM010337.1:2104507-2115051|+ -           1058 148373               -            689         0 1263.5  19.5   1   2      0.33      0.33   -2.0   0.4    42    91   187   223   167   244 0.49 <unknown description>
148373at5125_1081105_0:001201|CM010337.1:2104507-2115051|+ -           1058 148373               -            689         0 1263.5  19.5   2   2         0         0 1263.5  19.5    23   689   370  1057   327  1057 0.92 <unknown description>
148373at5125_660025_0:00150e|CM010337.1:2111445-2115192|+  -           1087 148373               -            689         0 1253.5  18.2   1   2      0.38      0.38   -2.2   0.5    42    91   209   245   190   266 0.48 <unknown description>
148373at5125_660025_0:00150e|CM010337.1:2111445-2115192|+  -           1087 148373               -            689         0 1253.5  18.2   2   2         0         0 1253.5  18.2    23   682   392  1072   351  1077 0.92 <unknown description>
148373at5125_2004952_0:001c1c|CM010337.1:2101538-2114821|+ -           1171 148373               -            689         0 1164.6  15.8   1   4       1.9       1.9   -4.5   6.7    66    88   107   129    61   174 0.47 <unknown description>
148373at5125_2004952_0:001c1c|CM010337.1:2101538-2114821|+ -           1171 148373               -            689         0 1164.6  15.8   2   4      0.19      0.19   -1.1   2.1    47   472   255   282   220   300 0.48 <unknown description>
148373at5125_2004952_0:001c1c|CM010337.1:2101538-2114821|+ -           1171 148373               -            689         0 1164.6  15.8   3   4      0.58      0.58   -2.7   0.9    42    91   348   384   332   405 0.47 <unknown description>
148373at5125_2004952_0:001c1c|CM010337.1:2101538-2114821|+ -           1171 148373               -            689         0 1164.6  15.8   4   4         0         0 1164.6  15.8    23   642   531  1171   490  1171 0.92 <unknown description>
148373at5125_1208366_0:001a9b|CM010337.1:2111817-2114338|+ -            824 148373               -            689  7.2e-262  859.5  14.5   1   2      0.27      0.27   -1.6   0.7    42    91   162   198   139   220 0.49 <unknown description>
148373at5125_1208366_0:001a9b|CM010337.1:2111817-2114338|+ -            824 148373               -            689  7.2e-262  859.5  14.5   2   2  7.2e-262  7.2e-262  859.5  14.5    23   477   345   812   304   821 0.90 <unknown description>
148373at5125_93591_0:0011f6|CM010337.1:2112037-2114053|+   -            616 148373               -            689  6.4e-217  711.0  11.1   1   1  6.5e-217  6.5e-217  711.0   8.5    23   394   232   616   191   616 0.89 <unknown description>
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/148373at5125.hmm
# Target file:     /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/148373at5125.faa
# Option settings: hmmsearch --domtblout /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/hmmer_output/148373at5125.out --cpu 1 /home/arafat/busco_downloads/lineages/hypocreales_odb12.2/hmms/148373at5125.hmm /home/arafat/Foxy_SIX_Evolution/results/busco/GCA_003315725.1/run_hypocreales_odb12.2/miniprot_output/translated_proteins/148373at5125.faa 
# Current dir:     /home/arafat/Foxy_SIX_Evolution
# Date:            Thu Sep 24 13:02:15 2026
# [ok]
