Strain_Isolate	Forma_specialis	Host	Geographic_origin	Assembly_Accession	Assembly_Level	Genome_Size_bp	Num_Contigs	Contig_N50	Sequencing_Technology
Fus187	f. sp. spinaciae	Spinacia oleracea	USA: Skagit County, Washington	GCA_013347355.2	Chromosome	50445380	13	4294537	Oxford Nanopore MinION
170	None (nonpathogenic)	Acacia koa	USA: Maui, Hawaii	GCA_014857085.1	Chromosome	49057733	273	587293	Illumina Truseq
Fo5176	f. sp. conglutinans (literature-inferred; not in NCBI taxonomy record)	Brassica oleracea		GCA_030345115.2	Complete Genome	69556834	18	4366112	PacBio
LD-06	f. sp. nicotianae (literature-inferred; not in NCBI taxonomy record)	Nicotiana tabacum L.	China:Hubei	GCA_054643155.1	Complete Genome	51734774	14	4802301	PacBio
FO12	Not formally assigned	Quercus suber	Spain	GCA_055853645.1	Chromosome	57605083	86	4297787	Oxford Nanopore MinION; HiC Illumina Novaseq
	f. sp. tuberosi (literature-inferred; not in NCBI taxonomy record)	Solanum tuberosum	Slovenia	GCA_984579085.1	Chromosome	50981747	64	4759803	OXFORD_NANOPORE,ILUMINA
Foa 44	f. sp. albedinis	date palm cv. Majhoul	Morocco: Tafilalt-Rissani	GCA_032206225.1	Chromosome	65971825	68	2783938	Illumina NovaSeq; Oxford Nanopore MinION
FoC_Fus2	f. sp. cepae	Allium cepa	United Kingdom:Lincolnshire	GCA_003615085.1	Chromosome	53425788	34	4140032	PacBio; Illumina MiSeq
Tw-R1-1	f. sp. cubense	Infected Pisang Awak banana	Taiwan	GCA_053754955.2	Chromosome	50233457	17	4747746	Illumina MiSeq; Oxford Nanopore MinION
Tw-TR4-1	f. sp. cubense	Infected Cavendish banana	Taiwan	GCA_053754965.2	Chromosome	48152668	18	4490478	Illumina MiSeq; Oxford Nanopore MinION
MAFF727510	f. sp. fragariae	Fragaria x ananassa	Japan: Nara prefecture	GCA_016164145.2	Chromosome	57345529	41	4484447	PacBio Sequel
BRIP62122a	f. sp. fragariae	Fragaria x ananassa	Australia: near Palmview City, Queensland province	GCA_016166325.2	Chromosome	51480125	29	4951078	PacBio Sequel
GL1381	f. sp. fragariae	Fragaria x ananassa	USA: near San Luis Obispo city, California	GCA_016170095.2	Chromosome	56921745	59	4363800	PacBio RSII
44	f. sp. koae	Acacia koa	USA: Hawaii, Hawaii	GCA_014857105.1	Chromosome	48133132	310	4223514	Illumina Truseq
JCP043	f. sp. lactucae	Lactuca sativa	USA: Huron, California	GCA_055944325.1	Complete Genome	64104511	16	4634744	Oxford Nanopore PromethION; PacBio Sequel
AT141	f. sp. lactucae	Lactuca sativa	Spain	GCA_055944345.1	Complete Genome	68502166	19	4695532	Oxford Nanopore PromethION; PacBio
39	f. sp. lini	Linum usitatissimum	Russia: Torzhok	GCA_013423245.1	Chromosome	69459321	139	1712109	Illumina; PacBio RS
race 3	f. sp. lycopersici	Solanum lycopersicum	USA: Yolo County, California	GCA_003977725.1	Chromosome	57229625	38	4408267	PacBio RSII
4287	f. sp. lycopersici	Solanum lycopersicum	Spain	GCA_003315725.1	Chromosome	53866543	503	1338693	Illumina HiSeq; PacBio
FOP-SP1	f. sp. phaseoli	Phaseolus vulgaris	Spain: Avila, La Carrera	GCA_054130785.1	Chromosome	54437586	241	1046721	PacBio RS; IonTorrent
LM-2	f. sp. phaseoli	Vigna unguiculata	China: Hainan	GCA_054643655.1	Chromosome	53359552	21	4722721	Illumina NovaSeq 6000; PacBio Sequel II; Hi-C
Fus254	f. sp. spinaciae	Spinacia oleracea	USA: Washington County, Oregon	GCA_013347345.2	Chromosome	63669648	27	4070646	Oxford Nanopore MinION
Fus167	f. sp. spinaciae	Spinacia oleracea	USA: Arkansas	GCA_013347535.2	Chromosome	64054962	25	4380961	Oxford Nanopore MinION
VCG 01112	f. sp. vasinfectum	Gossypium hirsutum	Australia: MacInyre Valley, NSW	GCA_049306905.1	Chromosome	58678871	25	4433392	HiC + PacBio
VCG 01111	f. sp. vasinfectum	Gossypium hirsutum	Australia: Darkubg Downs, QLD	GCA_049307005.1	Chromosome	56291533	27	4299034	HiC + PacBio
II5	f. sp. cubense (confirmed via genome-announcement literature; not in NCBI taxonomy record)	banana	Indonesia	GCA_031834405.1	Chromosome	49425076	69	4484645	PacBio
Fo47	None (nonpathogenic)			GCA_013085055.1	Complete Genome	50358849	12	4523040	PacBio RSII
